"PID","describe","how","why_1","why_2","why_3","why_4","why_5","otherself","antidem","trust","antiest","elect","polparticipation","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","antiest_1","antiest_2","antiest_3","antiest_4R","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","polparticip_1","polparticip_2","polparticip_3","polparticip_4","polparticip_5","polparticip_6","vote_2024","vote_now","ideo_con","ideo_lib","ideo_demsoc","ideo_lbrtn","ideo_prog","party_gen","party_dem","party_rep","party_ind","party_followup","att_1","is_elg","age","gender","race","edu","income","income_num","edu_num","white_bin","man_bin","rep_bin","dem_bin","ind_bin","ai_sentiment","ai_topics","left_behind_score","category","culprit","feeling_vs_objective","culprit_text","rationale","n_reasons","any_gov","any_nonsense","frac_systemic","frac_individual","frac_both","frac_none","top_category","feedback"
"LD857oy","I think poor people are feeling left behind. They are low income, with not many means to find a job, let alone a way to travel to a job because they cannot afford a car. They rely on friends and family to help them out to get their own groceries, which they cannot afford much of",6,"money","jobs","social status",NA,NA,2,1.4,1.66666666666667,6.75,1,3.33333333333333,1,1,2,1,2,7,7,6,7,1,1,2,3,1,2,3,1,5,4,3,4,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,3,3,2,3,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,23,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,1,0,"negative","poverty; unemployment; transportation; food insecurity",8,"economic",0,1,NA,"The response highlights the feelings of being left behind due to economic hardships such as low income and lack of transportation.",3,0,1,0.5,0,0,0.5,"economic",NA
"YB397tb","With the rollback or elimination of DEI practices, many people are feeling that impact of not getting support or community. Also with costs going up for everything, people who are middle class and below are impacted a lot with shrinking budgets and putting off purchases or doing things they enjoy. These people are struggling to make ends meet and possibly unemployed.",50,"Costs higher for everything","No DEI support","Fear of government","Unemployment high","Can’t make ends meet",3,2,1.83333333333333,5,1,3.66666666666667,2,2,2,2,2,5,5,5,5,2,1,1,4,2,1,4,4,3,4,4,3,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",2,6,5,NA,3,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,58,"woman","White","4yearColl","$80,001-$100,000",5,4,1,0,0,1,0,"negative","DEI practices; rising costs; middle class struggles",7,"economic",0,1,NA,"The response highlights feelings of being left behind due to the rollback of DEI practices and rising costs impacting the middle class.",5,1,0,0.8,0,0.2,0,"economic",NA
"YW134br","I think pretty much everyone under the age of 40 is feeling left behind by the way things are currently being done in the United States. There are now not just one, but multiple generations of people who grew up in a world where social and economic advancement is nearly impossible, people who have been fighting for their lives for their entire life. Wages are stagnant, jobs are being automated, education is being attacked and defunded, all while our political and commercial elite class overlords push us into meaningless conflict over social issues like gender and sexuality.",50,"No economic mobility","Stagnant wages","Job insecurity","Lack of leisure","Antagonistic news media",5,1,1.5,7,1,5,1,1,1,1,1,7,7,7,7,1,1,1,4,1,1,5,5,5,5,5,5,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,3,5,1,5,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,35,"man","White","GED","$20,001-$40,000",2,2,1,1,0,1,0,"negative","economic stagnation; automation; education defunding; social issues",8,"economic",1,1,"political and commercial elite class","The response highlights feelings of being left behind due to economic and social challenges, with blame placed on elites.",5,0,0,0.8,0.2,0,0,"economic","N/A"
"LG535zl","They will be just like me because I AM the person you described. Whites hate me, Natives hate me, men hate me. I can barely afford groceries. My electric will be turned off Monday because I'm $20.00 short. My ceiling is collapsing and I can't afford a new home. I am literally dying of poverty and Trump feels like I should give even more to a country that hates me.",42,"racism","poverty","uneducated","unseen","unheard",5,2,1.83333333333333,7,1,3.83333333333333,1,5,1,1,2,7,7,7,7,1,1,2,4,1,2,5,4,5,1,3,5,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,7,7,1,5,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,60,"woman","multiracial","GED","$0-$20,000",1,2,0,0,0,1,0,"negative","poverty; discrimination; housing; politics",10,"economic",1,1,"Trump","The response expresses a strong feeling of being left behind due to economic hardship and perceived discrimination, with a specific mention of Trump as a responsible party.",5,0,1,0.4,0.2,0,0.4,"other",NA
"LA424lb","I feel those who aren't educated, poor and/or don't have the skills to advance in life. They grew up poor, live in a poor area and just don't feel they can crawl up the social ladder. They feel the gap is growing and it will continue to do so.",19,"lack of skills","low social status","no money","in debt","poor health",1,NA,2.33333333333333,5.25,1,1.33333333333333,NA,NA,NA,NA,NA,5,5,6,5,2,2,3,4,2,1,2,2,1,1,1,1,"Kamala Harris (Democratic Party)","J. D. Vance (Republican Party)",4,4,5,4,4,"Independent",NA,NA,"Neither","Independent | Neither",1,1,42,"man","White","4yearColl","$100,001-$120,000",6,4,1,1,0,0,1,"negative","education; poverty; social mobility",8,"social",0,1,NA,"The response highlights feelings of being unable to advance due to lack of education and skills, emphasizing a growing social gap.",5,0,0,0,0.8,0.2,0,"economic",NA
"NK673ap","I think anyone who is not a white Christian male at this point is being left behind and they are feeling it more now than ever. This includes anybody who is non-binary gendered, any minority races, women, and anyone that is not subscribed to the Christian ideology.",50,"Conservative politics","Rise in intolerance","Disregard for protection of equality",NA,NA,2,2.2,1.83333333333333,5.25,0,1.16666666666667,4,1,1,4,1,7,6,1,7,1,2,1,4,1,2,1,1,2,1,1,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,7,6,1,7,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,44,"man","White","4yearColl","Over $200,000",11,4,1,1,0,0,1,"negative","identity; discrimination; minority rights",8,"social",0,1,NA,"The response highlights feelings of being left behind among non-white, non-Christian, and non-male groups, emphasizing social identity and discrimination.",3,1,0,1,0,0,0,"social",NA
"KD900dx","The person who is feeling left behind is the one who is working full time and still not making enough to support their family.",14,"they are trying their best and its not good enough","they are struggling","they see other people living better than them",NA,NA,2,1,3,5.75,1,1,1,1,1,1,1,6,7,5,5,3,3,3,4,2,3,1,1,1,1,1,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,6,2,1,6,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,39,"man","multiracial","4yearColl","Over $200,000",11,4,0,1,0,0,1,"negative","working full time; financial struggle; family support",7,"economic",0,1,NA,"The response highlights the emotional struggle of working full time yet not earning enough to support a family, indicating a feeling of being left behind economically.",3,0,0,0,0.666666666666667,0,0.333333333333333,"other",NA
"GA854dt","I think the poor and under/uneducated are the ones being left behind. They don't have the means to pursue a higher skillset to keep up with the advancements of today's society. Most higher-paying careers now require college degrees, and someone who lives in a poorer, more rural area wouldn't be able to afford or even access this higher learning because of their location.",10,"Lack of resources","Lack of connections","Limited skillset","Limited to no education opportunities","Rural/underdeveloped location",2,1,2.5,5.75,0,1,1,1,1,1,1,7,5,5,6,3,2,3,4,2,1,1,1,1,1,1,1,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",1,6,3,5,7,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,30,"woman","White","GED","$60,001-$80,000",4,2,1,0,0,1,0,"negative","education; economic disparity; rural access",8,"economic",0,0,NA,"The response highlights the economic and educational barriers faced by the poor and under/uneducated, particularly in rural areas, as an objective condition of being left behind.",5,0,0,0.6,0.4,0,0,"economic","Thank you!"
"RJ549rq","It is the people who are living pay check to pay check. Unable to find a decent job that covers expenses. Those who can not afford a home, car or basic necessities. Those who do not have the resources to attend higher education without being in debt.",0,"jobs","education","opportunities","security","health",2,1,2.66666666666667,4.5,1,1.33333333333333,1,1,1,1,1,5,4,5,4,2,2,3,4,2,3,3,1,1,1,1,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",4,4,4,4,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,60,"woman","multiracial","4yearColl","$120,001-$140,000",7,4,0,0,0,0,1,"negative","income inequality; job market; housing affordability; education debt",8,"economic",0,0,NA,"The response highlights objective economic conditions such as inadequate income, unaffordable housing, and education debt.",5,0,1,0.2,0,0.4,0.4,"economic","no thank  you"
"QD250oo","The people being left behind are the middle class and poor people. The rich keep getting richer and everyone else isnt. The divide grows everyday. We have less rights than we used to. Less freedom. And less help from the government.",18,"Less government help","Stagnent wages","Being taken advantage of","Priced out of home ownership",NA,5,2.8,1.5,6.25,1,1.66666666666667,1,2,6,4,1,7,6,6,6,1,1,1,4,1,1,4,1,2,1,1,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",1,7,7,4,6,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,34,"man","White","GED","$80,001-$100,000",5,2,1,1,0,1,0,"negative","economic inequality; government support; rights and freedom",8,"economic",1,1,"the rich, government","The response highlights economic disparity and reduced government support, implying the rich and government are responsible.",4,1,0,0.75,0.25,0,0,"economic",NA
"FF403ay","I think the gap is widening between upper middle class and middle class and those socioeconomically I think America is set up for those who have financial means and have a grown-up with a life of privilege.",50,"Born into poverty","Limited access to higher education","Limited parental interaction/involvement",NA,NA,2,2.2,3.16666666666667,4.75,1,2.83333333333333,1,6,2,1,1,7,6,3,3,3,3,3,4,3,3,4,1,4,4,3,1,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",4,5,5,5,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,53,"woman","White","MA","$40,001-$60,000",3,5,1,0,0,0,1,"negative","economic disparity; privilege",7,"economic",0,1,NA,"The response highlights a perceived widening gap between socioeconomic classes, suggesting a feeling of being left behind for those without financial means.",3,0,0,0.666666666666667,0.333333333333333,0,0,"social",NA
"OD372si","In the past 50 years, economic policies and political power have increasingly favored the rich over the rest of society, and created a great disparity that is felt more and more urgently by people left behind. If people were to have the same lifestyle as they did 50 years ago, the federal minimum wage would be $24/hour vs the current $7.75/hour.",30,"Economic disparity","Cost of housing","social deteriorization due to drug use","Gradual realization of how advantaged the rich are","Both major political parties leaving the middle and lower classes behind",3,1,2.5,5.75,1,3.16666666666667,1,1,1,1,1,7,6,4,6,1,2,3,4,1,4,4,1,4,4,4,2,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",1,6,6,4,4,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,75,"man","White","GED","$40,001-$60,000",3,2,1,1,0,0,1,"negative","economic disparity; minimum wage; political power",8,"economic",1,0,"economic policies and political power","The response highlights economic disparity and inadequate minimum wage as a result of policies favoring the rich, indicating an objective condition of being left behind.",5,1,0,0.8,0,0.2,0,"economic","Why do you ask for my favorite color? That question seems more and more common."
"QY965yz","The average white American is being left behind. Prices rising, benefits for illegals and others takes away things from regular people. Being white and middle class is not an asset anymore.",40,"Racial inequality","Bottom of the list for social services","Economy benefits others",NA,NA,3,2.8,1.5,6,1,1.33333333333333,2,3,2,5,2,5,7,6,6,1,2,2,2,1,1,2,1,2,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",7,1,1,4,1,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,67,"woman","White","GED","$60,001-$80,000",4,2,1,0,1,0,0,"negative","rising prices; benefits for immigrants; middle class struggles",7,"economic",1,1,"illegals and others","The response expresses a feeling of being left behind due to economic pressures and perceived preferential treatment of others.",3,0,0,1,0,0,0,"social",NA
"SL728en","I think that immigrants are being left behind based on how things are going in the United States. I think that a lot of people who have come here from other countries illegal or legal are being left behind. They are being undervalued and people want them sent back to their country of origin.",50,"because some are being sent back to their original countries","they have less rights","they are being harassed","they aren't being accepted",NA,1,1,2.16666666666667,5.25,1,1,1,1,1,1,1,6,5,5,5,2,2,2,3,2,2,1,1,1,1,1,1,"I did not vote","Kamala Harris (Democratic Party)",1,5,NA,2,1,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,39,"woman","White","GED","$80,001-$100,000",5,2,1,0,0,1,0,"negative","immigration; undervaluation; deportation",7,"social",1,1,"people who want immigrants sent back","The response indicates that immigrants are undervalued and there is a sentiment against them, suggesting they feel left behind.",4,0,1,0.5,0.25,0,0.25,"social",NA
"FS264fn","People who used to work factory jobs, manufacturing products either skilled or unskilled, mainly in the rust belt.",44,"lack of jobs","low wages","poor education",NA,NA,1,3.8,2.16666666666667,5.75,1,2.5,4,2,2,7,4,5,6,6,6,1,3,3,3,2,1,4,2,5,1,2,1,"Robert F. Kennedy Jr. (Independent)","J. D. Vance (Republican Party)",7,1,1,6,1,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,64,"man","White","2yearColl","$20,001-$40,000",2,3,1,1,1,0,0,"negative","factory jobs; manufacturing; rust belt",8,"economic",0,0,NA,"The response highlights the decline of factory jobs in the rust belt, indicating an economic condition of being left behind.",3,0,0,1,0,0,0,"economic",NA
"OP440di","I guess the kind of person that is feeling left behind is someone who either doesn't want to work, isn't educated, or is depressed or sick. I think if one is feeling left behind, they should change their life or lifestyle. I believe anyone in this country can get ahead if they are committed to doing so.",51,"poor","depressed","lazy","sick",NA,1,1.8,3.16666666666667,3.5,1,2.66666666666667,4,1,1,2,1,3,3,5,3,3,3,4,4,3,2,5,5,3,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",7,1,1,4,1,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,61,"woman","White","GED","$60,001-$80,000",4,2,1,0,1,0,0,"negative","personal responsibility; self-improvement",1,"social",0,1,NA,"The response suggests that feeling left behind is due to personal choices or conditions, implying it's a matter of personal responsibility.",4,0,0,0,1,0,0,"other",NA
"FX295ed","I believe that the people that are feeling left behind are illegal immigrants, immigrants and blacks. I believe this because it is blasted all over social media.",54,"unable to get a job","unable to get benefits","unable to get housing","looked down upon by society",NA,3,2.8,1,6.5,1,3.33333333333333,1,1,4,4,4,5,7,7,7,1,1,1,1,1,1,4,4,4,4,2,2,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",7,1,1,2,1,"Republican",NA,"Not very strong",NA,"Republican | Not very strong",1,1,34,"woman","White","GED","$100,001-$120,000",6,2,1,0,1,0,0,"mixed","immigrants; social media; racial issues",5,"social",0,1,NA,"The response highlights groups feeling left behind, influenced by social media narratives.",4,1,0,0.75,0,0.25,0,"economic",NA
"TG401vr","single men are feeling left behind because they lack the social skills and emotional depth to form friendships and romantic relationships",100,"lack of friendship","socially awkward","isolation",NA,NA,2,2.8,2,5.5,1,2.5,2,3,3,4,2,6,5,6,5,1,2,2,4,1,2,4,1,4,2,2,2,"Kamala Harris (Democratic Party)","Gavin Newsom (Democratic Party)",4,2,5,2,5,"Democrat","Strong",NA,NA,"Democrat | Strong",1,1,53,"woman","White","4yearColl","$180,001-$200,000",10,4,1,0,0,1,0,"negative","social skills; emotional depth; relationships",7,"social",0,1,NA,"The response highlights feelings of being left behind due to perceived deficiencies in social skills and emotional depth, impacting relationships.",3,0,0,0,1,0,0,"social",NA
"IY384yq","I feel that many people are feeling left out right now. I imagine immigrants are feeling unsafe. Also women, and members of the LGBTQ plus community must feel unsafe with the current state of the US. They are different than most people and many are trying to ""other"" them. They are probably concerned and afraid.",74,"Trump","US Policies","Housing Costs","Ice","Discrimination",2,1.2,3,4.75,0,2.66666666666667,1,1,1,2,1,6,5,5,3,3,3,2,4,3,3,3,3,4,2,2,2,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",7,7,6,6,6,"Democrat","Not very strong",NA,NA,"Democrat | Not very strong",1,1,43,"man","White","2yearColl","$60,001-$80,000",4,3,1,1,0,1,0,"negative","immigrants; women; LGBTQ+; safety; discrimination",7,"social",1,1,"many are trying to 'other' them","The response highlights feelings of being unsafe and marginalized among specific groups due to societal attitudes.",5,1,1,0.6,0,0,0.4,"other",NA
"KX827gq","I think the kind of people they are describing are generally low income and disabled people. Also I think it’s aimed towards minorities and immigrants. The way the United States treats people that are different is disgusting and unacceptable. Their culture is disregarded and disrespected constantly. Low income people from all races are significantly less likely to succeed in todays world and economy. Wealth distribution is way off and certain people benefit greatly from it",57,"Inequality","Classism","Racism","Sexism",NA,2,NA,1.83333333333333,5.75,1,1.16666666666667,NA,NA,NA,NA,NA,7,7,4,5,2,2,2,3,1,1,2,1,1,1,1,1,"I did not vote","I would not vote",4,4,NA,NA,NA,"Independent",NA,NA,"Neither","Independent | Neither",1,1,33,"man","White","GED","$40,001-$60,000",3,2,1,1,0,0,1,"negative","low income; disabled people; minorities; immigrants; wealth distribution",8,"social",1,0,"The United States","The response highlights systemic issues affecting low income, disabled, minority, and immigrant groups, with a focus on social and economic disparities.",4,0,0,1,0,0,0,"social","Thanks for the opportunity"
"TA972nt","The people who are most feeling ""left behind"" these days are the victims of crimes in democratic states. The reason for that is democrat politicians always go for soft on crime policies. For example, they often take into consideration the suspect's race or sex and if they are found to be ""minorities"", they'll lower the bond or just make them do community service. There are also many examples of these blue states releasing dangerous criminals back into society, only for the criminals to immediately get back into killing or raping people. In blue states, it's the innocent people who suffer and the criminals are treated a lot better.",100,"Politicians promote soft on crime policies, which helps criminals.","Punishments for criminals are lowered, making victims or their families feel unheard and deprived of justice.","Legal immigrants in blue states, who have worked so hard and sacrificed so much to become legal residents or citizens, have to compete with illegal immigrants for jobs and resources when the illegals aren't even supposed to be here in the first place.",NA,NA,5,4,2.83333333333333,1.5,0,1.66666666666667,7,4,4,4,1,1,1,1,3,3,3,3,4,3,1,5,1,1,1,1,1,"Donald Trump (Republican Party)","Donald Trump (Republican Party)",7,1,1,1,1,"Republican",NA,"Strong",NA,"Republican | Strong",1,1,42,"man","Asian","4yearColl","$80,001-$100,000",5,4,0,1,1,0,0,"negative","crime; politics; justice system",8,"political",1,1,"democrat politicians","The response criticizes democrat politicians for their crime policies, suggesting they prioritize criminals over victims, leaving victims feeling neglected.",3,1,0,0.666666666666667,0,0.333333333333333,0,"economic","All's good thanks."
"HF012at","Definitely those who are minorities. Immigrants, people of colour, LGBTQ+ members, and women.",96,"Gay marriage isn't federally legal everywhere","Trans people are not accepted","People of colour don't get the same oppurtunties","Immigrants are being deported","Women are not being seen as equal to men",2,2.2,2.33333333333333,4.75,0,2,2,3,2,2,2,6,5,3,5,2,2,2,4,2,2,4,4,1,1,1,1,"Kamala Harris (Democratic Party)","Kamala Harris (Democratic Party)",6,6,5,5,5,"Independent",NA,NA,"Closer to Democratic","Independent | Closer to Democratic",1,1,34,"woman","White","GED","$20,001-$40,000",2,2,1,0,0,0,1,"negative","minorities; immigrants; people of colour; LGBTQ+; women",8,"social",0,1,NA,"The response highlights groups that often feel marginalized or left behind in society.",5,1,0,1,0,0,0,"social",NA
