"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","gender_.99_TEXT","race_8_TEXT","age","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","lebe_cont_1","describe","system","gov","econcult","history","trajectory","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","elect_exp","elect_change","elect_econ","elect_cult","antiest_1","antiest_2","antiest_3","antiest_4","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","vote_2024_12_TEXT","check_1","feedback","inparty","outparty","extra_text","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind","vote_2024"
"RF010xy","0","100","216","1","1","","","","39","7","2","2","4","2","0","Well, women are often left behind in the sense that we aren’t considered in health studies; we’re expected to shoulder far more demands than our male counterparts, and do it without adequate support. ","2","5","4","4","1","1","2","3","5","2","4","3","6","6","6","5","3","2","2","3","3","4","3","2","","Freddie’s ","","Democratic Party","Republican Party",", if any,","woman","White","","","","","","","","$180,001-$200,000","PHD","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"JN822jx","0","100","371","1","1","4","","","25","1","6","6","","7","100","I am behind because I will never be able to afford anything. I will never be able to afford a house, and I can just hope that my parents keep theirs so that I can inherit it. I am also not going to have the normal milestones. I do not plan on getting married. I do not plan on having children. I do not plan on being able to retire. I am definitely behind millions of others who have just gotten more ""lucky"" and were born with some kind of money.","1","4","1","3","1","6","2","5","2","5","3","5","7","7","7","5","5","1","1","1","2","3","1","1","","mcdonalds","","Democratic Party","Republican Party","","woman","White","","","","","","","","$40,001-$60,000","2yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"IW455ya","0","100","278","1","1","4","","","61","6","1","1","4","1","31","I guess I could feel left behind because of technology or being part of the culture. I don't feel left behind because I am tech savvy and don't need to feel connected to the world in a way that i need to be accepted by it.","3","1","5","5","3","","","","","","2","5","1","1","7","1","2","2","1","1","1","1","1","1","","Chic-fil-a","","Non-Partisan","Non-Partisan",", if any,","man","White","","","","","","","","$60,001-$80,000","MA","Independent","","","","Neither","Donald Trump (Republican Party)"
"XJ512ns","0","100","204","1","1","4","","","36","","","","","","72","I feel left behind due to not progressing in most areas compared to others in my age and life stage. I'm behind on my career, family, and just everything it seems","5","2","2","6","2","1","1","1","1","1","5","5","5","6","6","6","6","5","2","3","3","3","1","3","","mcdonald's","","Democratic Party","Republican Party","","man","White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"YB659ta","0","100","442","1","1","4","","","54","2","2","","","","78","I think it means how you evaluate your life and your contentment with it relative to expectations. I feel I'm currently struggling with a number of issues both financially and with my relationships as well. I suppose everything is relative and based on your own personal context but that is how I interpret this.","7","1","1","7","2","","","","","","2","3","6","3","4","7","3","2","1","1","2","4","1","1","","Chipotle","","Non-Partisan","Non-Partisan","","man","White","","","","","","","","$180,001-$200,000","GED","Independent","","","","Neither","Donald Trump (Republican Party)"
"FW806vy","0","100","345","1","1","4","","","48","1","7","7","2","6","35","I feel that I am left behind. I was trained in Law Enforcement and did that for 7 years. Due to my partners murder, I developed crippling anxiety and left the profession. I then became a bookkeeper. however, more and more computer automation is taking over bookkeeping. Its been too long that I have been in law enforcement can't go back there, and technology is coming for bookkeeping. I feel that I am too old for another career change. ","6","1","3","6","1","1","1","1","1","1","1","1","7","7","7","7","7","3","2","2","2","4","1","3","","Wendys","","Democratic Party","Republican Party",", if any,","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"UB643ue","0","100","406","1","1","4","","","39","2","4","1","4","5","9","I feel left behind as a single parent because I struggle a lot to keep myself afloat. I have a lot to juggle in my daily life with very little support.","4","3","2","3","1","","","","","","4","3","6","6","7","7","7","2","1","1","1","3","1","1","","taco bell","","Non-Partisan","Non-Partisan",", if any,","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$0-$20,000","2yearColl","Independent","","","","Neither","I did not vote"
"KS809gz","0","100","313","1","1","4","","","37","5","1","1","3","1","30","I feel left behind by employment and other issues like women getting more attention than men these days. Especially when it comes to being employed. There are better chances for women to be employed than men in the work force for a lot of entry level or professional positions. Then the income is another issue with myself at least.","2","2","1","6","1","2","2","4","6","2","3","5","4","2","6","6","7","3","2","2","2","3","2","1","","In N Out","","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"OG485nh","0","100","437","1","1","4","","","45","1","4","1","1","1","73","Sometimes I feel left behind when I see people my age already doing things I want to do, like having better careers and nicer homes, while I'm still working towards those goals. It makes me feel like I'm moving slower than everyone else, even though I know I'm trying my best.","1","5","1","1","2","2","2","2","2","2","4","4","4","5","7","7","7","1","1","1","2","4","1","2","","Taco Bell","","Democratic Party","Republican Party","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$140,001-$160,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"RB280al","0","100","366","1","1","4","","","53","1","4","7","7","5","19","Right now I feel a little left behind because of the job market. It is very hard getting a job that pays well right now. No jobs in this small town.","2","2","2","6","2","1","1","1","3","3","6","5","7","7","7","7","7","5","1","1","1","3","2","2","","Burger King","Interesting topic","Democratic Party","Republican Party",", if any,","woman","","","Black or African American","","","","","","$60,001-$80,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"RV570ep","0","100","292","1","1","4","","","71","7","1","1","5","1","29","The only way I feel left behind is because I am underestimated due to my age. I am active, strong, healthy, computer literate, smartphone literate, and stay on top of the news. I am routinely outright ignored or alternatively treated like an invalid because I am older. ","1","2","7","6","2","2","2","1","1","1","3","3","1","1","6","7","7","1","1","1","2","3","1","1","","Wendy's","","Republican Party","Democratic Party",", if any,","woman","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Strong","","Donald Trump (Republican Party)"
"XQ558tt","0","100","372","1","1","4","","","71","7","1","1","5","1","0","I don't feel left behind in any sense of the phrase but given the high cost of living I can understand why many feel like they can barely survive day to day with no hope of improving their situation and that can make them feel left behind.","2","2","1","3","3","1","1","1","1","1","1","2","1","1","5","5","5","3","2","2","3","3","2","1","","Chic-fil-A","Very interesting and thought provoking study. Thank you so much and I wish you much success with your research!","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"HT082zb","0","100","235","1","1","4","","","40","3","5","6","5","5","55","I feel left behind as I don't think I value the same things that my peers value. I value the Earth and nature, and I spend a lot of my time immersed in the outdoors. I feel like most people are more focused on family, work, tech, etc. ","7","1","6","6","5","1","1","1","1","1","3","3","6","6","7","6","6","2","1","1","2","3","1","3","","Mcdonalds","none","Democratic Party","Republican Party","","man","White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"VV360uz","0","100","364","1","1","4","","","47","7","7","7","7","7","61","It means not represented by the status quo and not having your voice represented by your elected officials.","4","5","1","4","1","1","1","1","1","1","4","1","7","7","7","4","4","1","2","1","1","4","1","3","","Penn Station","Fantastic survey","Democratic Party","Republican Party","","man","White","","","","","","","","$20,001-$40,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"EY436xa","0","100","402","1","1","4","","","55","5","5","2","5","3","40","I think of left behind as whether I have more opportunities and financial security as my parents.  It is a generational measure.","3","1","2","4","2","4","6","2","2","2","4","5","3","3","7","7","7","2","1","1","3","3","1","1","","Cook-Out","thank you","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","$160,001-$180,000","PHD","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"RK008in","0","100","237","1","1","4","","","38","6","3","2","3","2","60","I think financially. Trying to make money today seems to be pretty hard to do. I enjoy making content online, but it is hard to stand out!","2","3","3","6","3","","","","","","2","4","4","2","6","4","4","3","1","1","1","3","1","1","","In N Out Burger","","Non-Partisan","Non-Partisan","","man","White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Neither","Donald Trump (Republican Party)"
"XO687zh","0","100","273","1","1","4","","","62","1","6","7","5","6","6","Age is discriminated agains in this country. It is especially difficult to find employment regardless of education and years of experience. With age comes knowledge and wisdom which is not thought of very highly.","1","2","4","1","2","1","1","1","1","1","1","6","7","7","7","7","2","1","2","1","3","4","2","4","","Zaxbys","","Democratic Party","Republican Party",", if any,","woman","White","","","","","","","","$40,001-$60,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"BN683kh","0","100","382","1","1","4","","","61","7","1","1","4","1","75","I felt left behind because I am being taxed so much that I can not accomplish my life's goals.  My elected representatives seem unaware and unconcerned about the level of taxation that is holding people back, and they are spending all the money on people who don't deserve it. ","1","5","1","4","2","2","2","2","4","1","1","5","1","1","1","6","7","6","1","1","2","3","2","1","","Five Guys","no comments","Republican Party","Democratic Party","","man","White","","","","","","","","Over $200,000","PHD","Republican","","","Strong","","Donald Trump (Republican Party)"
"ZW389ex","0","100","485","1","1","4","","","57","1","4","6","3","7","75","I feel left behind because, through no (or little) fault of my own, I have been out of the workforce for almost 9 years. Took care of a family member after a stroke, covid, mental health challenges afterwards. I am 57 years old and practically unhireable because of my age. Companies don’t want to invest in someone who won’t be there in 10-15 years. Little do they know that the way my finances are now and the way the current administration is running the economy into the ground, I'll probably be around for the next 20-25 years working just to survive. I’ve been trying to get a better, more rewarding full time job than the one I have now. I’m over qualified for most, but I still want the better job. I’m being dismissed out of hand because I am considered tool old or they fear I will be “too expensive” to hire.","2","4","6","7","2","7","7","5","3","3","5","2","7","7","7","6","7","3","1","1","3","4","1","3","","Taco Bell ","I think you should provide some concrete examples of being left behind ","Democratic Party","Republican Party","","man","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"ZY624zr","0","100","362","1","1","4","","","30","7","1","2","2","1","23","like others have made it in life and you havent gotten anywhere,you just stagnant ,thigs are not going on well with you,","3","3","4","3","4","4","2","4","2","2","5","4","4","4","5","4","4","4","2","2","2","2","2","2","","burger kiing","","Republican Party","Democratic Party",", if any,","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$140,001-$160,000","4yearColl","Republican","","","Strong","","Donald Trump (Republican Party)"
"CG199xe","0","100","352","1","1","4","","","66","7","1","1","2","1","10"," While growing up as one of four kids I often felt left behind, ignored or lost. Pretty sure my parents liked the other siblings better than me and I think at age 66 that holds true . I feel bad but thats who i feel. Wasnt the best stuedent when compared to my siblings, didnt act as nice as them, wasnt given the same attention as them either.","6","1","6","2","2","1","1","1","1","1","1","4","4","1","5","6","6","5","1","1","3","2","1","1","i voted for myself honestl","wendys","","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","$80,001-$100,000","GED","Independent","","","","Closer to Republican","Other (please specify)"
"WM775rx","0","100","355","1","1","4","","","35","6","7","7","5","7","80","I feel left behind because I pay a good amount of taxes as a single person living in an expensive place like California, and I don’t get anything in return for it. ","2","5","2","4","1","1","1","1","2","1","1","2","5","4","7","7","6","2","1","1","1","3","1","2","","Chipotle","Thanks","Democratic Party","Republican Party","","man","","","","","","Middle Eastern or North African","","","$40,001-$60,000","GED","Independent","","","","Closer to Democratic","Jill Stein (Green Party)"
"TF448bf","0","100","393","1","1","4","","","70","5","1","2","1","1","22","Maybe being left behind means you like the way things used to be and don't like all the new changes in the world. You like when there were 2 sexes and not so much political turmoil, in that sense I guess I am left behind. ","1","4","6","6","2","1","1","1","1","1","4","4","3","2","5","4","5","4","3","3","3","4","2","2","","Panera","","Republican Party","Democratic Party",", if any,","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"IW068if","0","100","569","1","1","4","","","64","4","1","3","3","5","0","Feeling left behind to me means feeling left out, not being seen or heard, not being part of a group.","2","2","5","5","4","2","1","2","2","2","4","5","4","6","3","3","3","4","2","2","3","3","2","3","","Dave’s hot chicken","","Democratic Party","Republican Party",", if any,","woman","White","","","","","","","","$60,001-$80,000","2yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"DV209rg","0","100","387","1","1","4","","","64","7","1","1","1","1","0","I guess it has to do with the feeling that things aren't equal for some people or groups. I don't believe in that philosophy, and I don't feel left behind.","4","1","4","4","4","4","4","4","4","6","2","3","1","1","5","4","4","3","1","2","2","2","2","1","","Rally's","Thank you","Republican Party","Democratic Party",", if any,","woman","White","","","","","","","","$20,001-$40,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"WT519ki","0","100","285","1","1","4","","","38","1","5","7","1","7","50","I feel left behind in the sense that I will most likely have fewer rights and less financial security than my parents and their generation.","1","5","4","5","1","1","2","3","1","5","4","4","7","7","7","5","4","1","2","1","2","4","2","2","","Chipotle","","Democratic Party","Republican Party","","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"YA457dg","0","100","259","1","1","4","","","59","6","2","3","5","3","51","Although I do yearn for times past I consider myself fairly up to date on trends, politics and technology, so I would estimate my left behind rating at 51.","6","3","6","2","2","2","2","2","2","2","2","2","2","2","3","5","3","5","2","3","3","3","2","2","","Panera","","Republican Party","Democratic Party","","man","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"AG709ww","0","100","388","1","1","4","","","39","5","1","1","2","1","0","Feeling left behind to me would mean not being able to adapt quick enough secularly to remain competitive in my industry. Others would surpass my knowledge and skill level and I would become obsolete. ","6","1","2","4","1","2","3","3","4","2","2","4","2","2","6","7","6","4","2","3","1","3","2","1","","Wendy’s ","None","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","$100,001-$120,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"PG316zo","0","100","533","1","1","4","","","59","6","1","1","2","1","50","I think at times feeling left behind comes from a number of factors, which includes economics, education, and level of socialbility with other human being. In the idea of economics, it may simply be how one grew up where there was not a lot of money available and had to improvise ways on how to live and survive. Economics also leads into education, where one goes to school and where that public school district is adequate regarding education overall; does it also suffer from economic issues. Socialbility also defines who we are, as well as our ability to communicate, relate, and network with others.","4","3","1","1","5","1","4","1","4","4","1","4","1","1","4","6","6","2","1","2","3","3","2","1","","In N Out","","Republican Party","Democratic Party","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Independent","","","","Closer to Republican","Donald Trump (Republican Party)"
"JH512hv","0","100","278","1","1","4","","","42","2","5","4","5","4","10","I do not feel like I'm part of the ""feeling left behind"" group.  I am a white male and therefore am not part of a class or minority that has been under-represented throughout the history of this country.","4","3","4","4","4","1","1","2","1","1","3","3","5","6","5","5","3","3","2","2","3","4","2","3","","Firehouse Subs","","Democratic Party","Republican Party",", if any,","man","White","","","","","","","","$100,001-$120,000","MA","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)"
"YD948tj","0","100","496","1","1","4","","","53","1","7","5","4","5","0","I suppose I feel a bit left behind when it comes to my career. I have changed my career a few times and now do what I truly love, which also unfortunately means a lot less money and status. When I was in corporate positions, I could have moved up to a level that is more or less admirable, earned me a very nice income and status in a traditional sense. Sometimes when I see or hear about former coworkers and acquaintances who have moved up to where I could have been, I slightly feel a tinge of ""what if"". It is not jealousy but sort of a feeling of left behind"" in the corporate sense.","7","1","4","3","4","1","1","1","4","2","5","6","7","7","6","5","4","2","2","1","2","4","2","3","","Shake Shack","","Democratic Party","Republican Party",", if any,","woman","","","","Asian","","","","","Over $200,000","MA","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"KB542qb","0","100","406","1","1","4","","","54","5","2","1","3","1","20","I feel this would encompass those that feel while they are doing most things right, that they are productive citizens in their community and country, their ability to get ahead and to be accepted by society for their accomplishments are not valued or sometimes even recognized.  They are not viewed favorably by the majority and or may not fit in with the majority even though they have done nothing wrong.","3","3","6","4","3","2","2","2","2","2","3","5","2","4","6","5","5","3","2","3","4","4","2","1","","In and Out","Thank you for the opportunity!","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","Over $200,000","4yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"SW020es","0","100","448","1","1","4","","","55","6","2","1","2","1","79","Feeling left behind to me means watching life move forward for others while I feel stuck in the same place. I notice people around me reaching milestones with better jobs and more stability while I am still struggling with the same challenges day after day.","6","1","2","3","2","1","1","1","1","1","3","4","2","2","7","7","4","2","2","2","3","3","1","1","","mcdonalds","","Republican Party","Democratic Party","","woman","White","","","","","","","","$40,001-$60,000","2yearColl","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"LX380kr","0","100","345","1","1","4","","","33","4","4","2","1","3","25","I feel that I've been left behind in the sense that as I've gotten older, my income I feel hasn't been keeping up with others of my age and in my area.  Many people that are my age earn upwards of 100-120k per year and I feel left behind.  I'm actively working on trying to get to that level but am kind of unsure how to at this point.  The market is tough and landing a job is even tougher.","5","1","1","6","6","1","1","1","1","1","5","5","5","2","7","7","7","1","1","1","2","3","1","2","","McDonalds","No additional comments or feedback on my end, thank you!","Republican Party","Democratic Party",", if any,","man","","","","Asian","","","","","$140,001-$160,000","4yearColl","Independent","","","","Closer to Republican","Donald Trump (Republican Party)"
"YN948dh","0","100","319","1","1","4","","","74","1","7","7","4","7","2","Feeling left behind means that people don't care about me, that society doesn't care about 
people like me, or that I have not lived my life in a way that makes me feel comfortabel in my old age.","1","5","1","4","1","1","1","1","1","1","4","4","7","7","7","6","7","1","1","1","1","4","1","3","","Taco Bell","none","Democratic Party","Republican Party",", if any,","woman","White","","","","","","","","$20,001-$40,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"JF207gd","0","100","294","1","1","4","nonbinary","","50","2","5","","","","1","It means that you feel like you're being left out, like you don't belong or are not a part of what's happening around you. I feel like the American dream is gone so I feel left behind in this regard.","1","5","3","6","1","1","1","2","4","5","4","3","6","6","7","7","7","1","1","1","1","3","1","1","","Subway","","Democratic Party","Republican Party",", if any,",NA,"White","","","","","","","","$20,001-$40,000","MA","Democrat","","Not very strong","","","I did not vote"
"RQ906bx","0","100","202","1","1","4","","","33","1","7","7","1","7","69","I feel left behind because of the income I’m earning, I feel I am unable to buy a house because of the housing cost in my city. ","2","4","1","6","2","1","1","1","1","1","5","2","7","7","6","6","6","4","3","3","3","3","3","3","","Honeygrow","","Democratic Party","Republican Party","","woman","","","","Asian","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"FK664ez","0","100","284","1","1","4","","","54","3","3","1","1","1","0","I guess if I feel left behind it would have to be because I see the glory of just being alive and most people do not. I can understand why they do not but nevertheless I still see the glory of the so-called mundane or given and make no apologies for doing so. This puts me rather beneath people's level of concern and they tend to label me as the 'jokester' but I fear the joke is on them. ","1","1","7","1","4","1","1","1","1","1","4","5","4","4","2","6","4","4","2","2","3","4","1","2","","Burger King","","Republican Party","Democratic Party",", if any,","man","White","","","","","","","","$0-$20,000","PHD","Republican","","","Not very strong","","Donald Trump (Republican Party)"
"VN588gk","0","100","431","1","1","4","","","47","1","5","5","4","6","81","I have had debilitating chronic illness for over 25 years. It has affected my health dramatically, causing damage to my liver and kidneys. I feel sick every day. I have tried to work as much as I can. Sometimes I can work 50+ hrs a week, sometimes I am bedridden for months. Our Gov/Society cares very little for people with INVISIBLE chronic illness/disease. It's very hard to get disability income, and you need to hire a lawyer. Many public places/venues are not accessible for those with mobility issues. ","1","4","3","2","4","1","2","1","4","1","3","3","6","7","6","7","6","3","2","2","2","4","2","1","","In n Out","","Democratic Party","Republican Party","","woman","White","","","","","","","","$120,001-$140,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"YS026tx","0","100","367","1","1","4","","","60","7","1","1","7","1","95","The world is not the same place it was 40 years ago...and the change has not been for the better. I feel like a dinosaur in this age where we have all this technology but no common sense. Things were so much better when they were simpler. If I could go back to the mid 1980s and stay there, I would.","1","3","5","4","1","7","7","7","7","7","2","1","1","1","6","7","7","1","1","1","1","2","1","1","","Arby's","","Republican Party","Democratic Party","","man","White","","","","","","","","$20,001-$40,000","MA","Republican","","","Strong","","Donald Trump (Republican Party)"
"BA969ut","0","100","481","1","1","4","","","42","5","5","3","4","3","6","I do not feel left behind in anyway. I used to think that way but as you get older you make your own way.  Mostly Everyone in can get a ahead it takes a lot of work and things getting in the way. When I mean mostly I'm talking about impaired people that have no control over body functions. Other than that a little hard work can move mountains.","1","4","3","1","3","1","4","1","2","1","3","5","4","4","4","5","2","1","1","1","1","3","1","1","","Pizza Hut","Great Study Thank You","Democratic Party","Republican Party",", if any,","man","White","","","","","","","","$80,001-$100,000","GED","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)"
"FT444df","0","100","328","1","1","4","","","30","1","7","7","1","7","8","I think in the way this country is heading. The vast majority of people agree with things like abortion, gay marriage, climate change, etc. But this countrys leadership is embracing the opposite in addition to hatred of others, discrimination, and corruption. ","1","5","5","7","1","1","2","1","1","2","4","3","7","7","7","5","3","4","1","1","1","4","1","2","","Taco Bell","","Democratic Party","Republican Party",", if any,","man","White","","","","","","","","$140,001-$160,000","MA","Democrat","","Strong","","","Kamala Harris (Democratic Party)"
"IJ244nc","0","100","297","1","1","4","","","49","","5","","5","4","61","Im not interested in making money or having lots of things. I love to travel but my medicaid doesn't cover me in other states which feels like I've been overlooked. ","4","4","6","3","2","","","","","","1","1","7","7","7","7","7","1","1","1","1","3","1","1","","Chipoltes","","Non-Partisan","Non-Partisan","","woman","White","","","","","","","","$0-$20,000","MA","Independent","","","","Neither","I did not vote"
"SB204bg","0","100","351","1","1","4","","","49","3","5","5","5","5","31","I feel like I'm left behind because I'm not living my life the way others that are my age are. I went thru a divorce about 10 years ago that had definitely made me feel like I'm being left behind. ","7","1","2","3","2","","","","","","3","5","5","5","6","6","6","4","3","3","3","3","3","3","","Taco bell","","Non-Partisan","Non-Partisan",", if any,","woman","White","","","","","","","","$20,001-$40,000","2yearColl","Independent","","","","Neither","I did not vote"
