"PID","Status","StartDate","Progress","Duration..in.seconds.","Finished","consent","gender_.99_TEXT","race_8_TEXT","age","feedback","Election","CAND_1","CAND_2","RACETYPE","vote_who","vote_who_3_TEXT","vote_who_nyc","vote_who_nyc_8_TEXT","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu"
"HB590sd","0","2025-11-05 09:02:02","100","40","1","1","","","39","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$100,001-$120,000","4yearColl"
"IN988rh","0","2025-11-05 09:02:30","100","25","1","1","","","36","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$40,001-$60,000","4yearColl"
"UD677gt","0","2025-11-05 09:02:40","100","29","1","1","","","31","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","Black or African American","","","","","","$40,001-$60,000","GED"
"YF795nd","0","2025-11-05 09:02:48","100","40","1","1","","","47","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$0-$20,000","MA"
"ST918xb","0","2025-11-05 09:01:30","100","135","1","1","","","28","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$80,001-$100,000","4yearColl"
"BN920lq","0","2025-11-05 09:03:48","100","20","1","1","","","21","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$60,001-$80,000","GED"
"SV448du","0","2025-11-05 09:04:55","100","30","1","1","","","21","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","Asian","","","","","Prefer not to answer","GED"
"SF961oi","0","2025-11-05 09:06:26","100","69","1","1","","","56","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","Other","Jason Rantz","","","man","White","","","","","","","","$160,001-$180,000","MA"
"DG241hf","0","2025-11-05 09:06:15","100","93","1","1","","","63","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$80,001-$100,000","2yearColl"
"SW576jz","0","2025-11-05 09:05:24","100","145","1","1","","","35","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","","","Black or African American","","","","","","$80,001-$100,000","4yearColl"
"PQ033ut","0","2025-11-05 09:07:34","100","19","1","1","","","18","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$40,001-$60,000","2yearColl"
"RF821pd","0","2025-11-05 09:07:23","100","31","1","1","","","33","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","$180,001-$200,000","2yearColl"
"IG286jp","0","2025-11-05 09:06:03","100","115","1","1","","","38","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","$180,001-$200,000","MA"
"YL559gf","0","2025-11-05 09:07:26","100","35","1","1","","","48","Woke up today feeling hopeful for the first time in a long time :)","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","$100,001-$120,000","4yearColl"
"EY589ii","0","2025-11-05 09:07:43","100","35","1","1","","","46","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$80,001-$100,000","PHD"
"FU799cx","0","2025-11-05 09:07:18","100","60","1","1","","","29","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_1}","","","","man","","","Black or African American","","","","","","$140,001-$160,000","MA"
"HM883eo","0","2025-11-05 09:00:29","100","480","1","1","","","32","","","","","","","","","","man","","","","Asian","","","","","$20,001-$40,000","GED"
"AA207ao","0","2025-11-05 09:06:49","100","127","1","1","","","37","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$60,001-$80,000","4yearColl"
"IW323cq","0","2025-11-05 09:08:25","100","36","1","1","","","21","College Student","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","Over $200,000","GED"
"YF122dn","0","2025-11-05 09:08:36","100","30","1","1","","","46","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","Other (please specify)","$160,001-$180,000","PHD"
"MC845la","0","2025-11-05 09:09:14","100","31","1","1","","","47","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","MA"
"KM695ho","0","2025-11-05 09:09:31","100","25","1","1","","","21","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","woman","","","","Asian","","","","","$20,001-$40,000","GED"
"ZW291vm","0","2025-11-05 09:10:02","100","26","1","1","","","53","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","Over $200,000","4yearColl"
"SA940ez","0","2025-11-05 09:10:30","100","24","1","1","","","26","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$140,001-$160,000","4yearColl"
"LZ303dz","0","2025-11-05 09:11:12","100","21","1","1","","","19","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","","$0-$20,000","4yearColl"
"WU392mq","0","2025-11-05 09:11:16","100","25","1","1","","","27","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","Over $200,000","PHD"
"ED185wf","0","2025-11-05 09:11:27","100","35","1","1","","","44","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","Over $200,000","MA"
"JS853bf","0","2025-11-05 09:11:29","100","44","1","1","","","29","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","","","","","man","","","","Asian","","","","","$100,001-$120,000","4yearColl"
"NQ116lr","0","2025-11-05 09:12:09","100","30","1","1","","","36","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$100,001-$120,000","MA"
"UE322bz","0","2025-11-05 09:14:50","100","62","1","1","","","32","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","man","","","","Asian","","","","","$20,001-$40,000","4yearColl"
"OY678gt","0","2025-11-05 09:17:07","100","59","1","1","","","47","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","Other","Joanne Kuniansky ","","","man","White","","","","","","","","$40,001-$60,000","4yearColl"
"PC805ur","0","2025-11-05 09:20:08","100","34","1","1","","","27","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","Black or African American","","","","","","$100,001-$120,000","MA"
"VO417sg","0","2025-11-05 09:20:10","100","57","1","1","","","70","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$40,001-$60,000","2yearColl"
"RM262mv","0","2025-11-05 09:19:21","100","113","1","1","","","33","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","Black or African American","","American Indian or Alaska Native","","","","$60,001-$80,000","4yearColl"
"VG601ud","0","2025-11-05 09:21:33","100","47","1","1","","","46","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$100,001-$120,000","4yearColl"
"BH643yd","0","2025-11-05 09:21:53","100","35","1","1","","Guyanese Indian","25","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","","","","","","Other (please specify)","$80,001-$100,000","4yearColl"
"VR867rn","0","2025-11-05 09:22:56","100","28","1","1","","","33","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$40,001-$60,000","4yearColl"
"FW858tc","0","2025-11-05 09:22:56","100","48","1","1","","","31","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","","Black or African American","","","","","","$20,001-$40,000","GED"
"WL537sa","0","2025-11-05 09:23:53","100","74","1","1","","","54","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","","","","","man","White","","","","","","","","$0-$20,000","GED"
"VR257oj","0","2025-11-05 09:23:15","100","203","1","1","","","37","A Great Study...hoping to be called again in the future, Thanks.","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_1}","","","","man","","","Black or African American","","","","","","$60,001-$80,000","4yearColl"
"KH969pw","0","2025-11-05 09:25:49","100","53","1","1","","","34","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","Black or African American","","","","","","$0-$20,000","4yearColl"
"KQ450uo","0","2025-11-05 09:28:00","100","18","1","1","","","29","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","","","","Asian","","","","","$100,001-$120,000","MA"
"AC758ua","0","2025-11-05 09:25:17","100","181","1","1","","","28","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_2}","","","","woman","","","","Asian","","","","","$100,001-$120,000","4yearColl"
"LQ562zz","0","2025-11-05 09:28:00","100","26","1","1","","","37","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","Hispanic, Latino, or Spanish origin","","","","","","","Over $200,000","MA"
"HI922yh","0","2025-11-05 09:28:33","100","36","1","1","","","35","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$100,001-$120,000","2yearColl"
"PB184je","0","2025-11-05 09:28:55","100","47","1","1","","","49","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$120,001-$140,000","4yearColl"
"XC776br","0","2025-11-05 09:31:50","100","30","1","1","","","19","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","",NA,"White","","","","","","","","Prefer not to answer",NA
"XD565hk","0","2025-11-05 09:31:36","100","44","1","1","","","29","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","White","","","","","","","","$160,001-$180,000","4yearColl"
"XH382vt","0","2025-11-05 09:33:14","100","48","1","1","","","52","Thank you for taking the time to read my responses. ","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","man","White","","","","","","","","$40,001-$60,000","GED"
"BR313wi","0","2025-11-05 09:18:49","100","1127","1","1","","","42","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","Hispanic, Latino, or Spanish origin","","","","","","","$160,001-$180,000","4yearColl"
"XJ732pm","0","2025-11-05 09:40:42","100","34","1","1","","","33","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","Other","Davis","","","woman","White","","","","","","","","$80,001-$100,000","MA"
"WM995qh","0","2025-11-05 09:40:49","100","36","1","1","","","38","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_2}","","","","man","","","","Asian","","","","","$40,001-$60,000","4yearColl"
"KZ767ae","0","2025-11-05 09:40:08","100","84","1","1","","","25","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","Black or African American","","","","","","$20,001-$40,000","GED"
"RQ115hx","0","2025-11-05 09:41:21","100","23","1","1","","","24","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$40,001-$60,000","4yearColl"
"LW529wu","0","2025-11-05 09:40:02","100","150","1","1","","","20","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","","","","","man","","","","Asian","","","","","Over $200,000","GED"
"FL397pt","0","2025-11-05 09:42:07","100","32","1","1","","","52","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","Over $200,000","GED"
"HD571qp","0","2025-11-05 09:41:05","100","111","1","1","","","21","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","4yearColl"
"KH833wt","0","2025-11-05 09:43:14","100","43","1","1","","","42","Vote Blue!","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$60,001-$80,000","4yearColl"
"XH755kg","0","2025-11-05 09:43:22","100","46","1","1","","","19","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","$20,001-$40,000","GED"
"YP509lw","0","2025-11-05 09:48:01","100","26","1","1","","","20","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","","","Asian","","","","","Over $200,000","4yearColl"
"SG246do","0","2025-11-05 09:48:55","100","26","1","1","","","28","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","","Asian","","","","","$80,001-$100,000","4yearColl"
"XM001ju","0","2025-11-05 09:49:18","100","30","1","1","","","47","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_2}","","","","man","White","","","","","","","","$180,001-$200,000","2yearColl"
"ZR733wc","0","2025-11-05 09:49:28","100","30","1","1","","","34","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$40,001-$60,000","GED"
"LP425jo","0","2025-11-05 09:52:14","100","29","1","1","","","65","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$20,001-$40,000","GED"
"XL921ry","0","2025-11-05 09:52:42","100","27","1","1","","","59","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$140,001-$160,000","2yearColl"
"FK720un","0","2025-11-05 09:56:36","100","25","1","1","","","45","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","","","","","man","White","","","","","","","","$40,001-$60,000","GED"
"AZ493zv","0","2025-11-05 09:57:05","100","25","1","1","","","35","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","Other","","","","woman","White","","","","","","","","$40,001-$60,000","4yearColl"
"JG177uk","0","2025-11-05 09:45:33","100","849","1","1","","","40","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","","Asian","","","","","$120,001-$140,000","4yearColl"
"QS929nk","0","2025-11-05 10:01:09","100","67","1","1","","","26","none thank you!!","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","$80,001-$100,000","4yearColl"
"PT660zo","0","2025-11-05 10:04:14","100","36","1","1","","","70","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$60,001-$80,000","4yearColl"
"YV547xn","0","2025-11-05 10:03:09","100","159","1","1","","","58","Thank you.","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$140,001-$160,000","MA"
"UC357lh","0","2025-11-05 10:05:02","100","90","1","1","","","50","I completed 3 years of college, but that wasn't an option.  Usually surveys will have ""some college"" as a choice.","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","Over $200,000","GED"
"BN678sc","0","2025-11-05 10:08:17","100","23","1","1","","","31","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl"
"OB951tk","0","2025-11-05 10:08:02","100","47","1","1","","","77","just thanks for the opportunity to participate ","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_1}","","","","man","White","","","","","","","","$180,001-$200,000","MA"
"QB365bj","0","2025-11-05 10:08:21","100","31","1","1","","","32","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","","Asian","","","","","$100,001-$120,000","MA"
"NU704ry","0","2025-11-05 10:10:21","100","93","1","1","","","70","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","man","White","","","","","","","","$60,001-$80,000","4yearColl"
"FT298ht","0","2025-11-05 10:11:57","100","39","1","1","","","40","n/a","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$140,001-$160,000","4yearColl"
"GV426wp","0","2025-11-05 10:13:31","100","25","1","1","","","29","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","","Asian","","","","","$60,001-$80,000","4yearColl"
"MJ115sc","0","2025-11-05 10:15:26","100","66","1","1","","","33","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","man","White","","","","","","","","$120,001-$140,000","4yearColl"
"MY174ro","0","2025-11-05 10:18:04","100","35","1","1","","","47","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl"
"EF386fa","0","2025-11-05 10:18:30","100","24","1","1","","","28","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","man","","","","Asian","","","","","Over $200,000","MA"
"LS516mm","0","2025-11-05 10:19:15","100","28","1","1","","","25","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$0-$20,000","2yearColl"
"SP372tv","0","2025-11-05 10:19:32","100","52","1","1","","","32","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","2yearColl"
"ZU886cq","0","2025-11-05 10:20:47","100","48","1","1","","","21","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$20,001-$40,000","GED"
"AC689lr","0","2025-11-05 10:22:07","100","25","1","1","","","33","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","","","Asian","","","","","$40,001-$60,000","4yearColl"
"AQ548ok","0","2025-11-05 10:23:14","100","31","1","1","","","57","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","Over $200,000","PHD"
"MY230sq","0","2025-11-05 10:25:18","100","30","1","1","","","37","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","man","White","","","","","","","","$0-$20,000","MA"
"VY505cl","0","2025-11-05 10:27:35","100","23","1","1","","","21","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","GED"
"BN944ur","0","2025-11-05 10:27:43","100","40","1","1","","","32","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","","Black or African American","","","","","","$20,001-$40,000","GED"
"QM051yo","0","2025-11-05 10:32:50","100","27","1","1","","","40","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_2}","","","","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$160,001-$180,000","MA"
"YZ826ba","0","2025-11-05 10:34:20","100","40","1","1","","","62","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","man","White","","","","","","","","$140,001-$160,000","MA"
"EU074ao","0","2025-11-05 10:34:33","100","95","1","1","","","54","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_1}","","","","woman","White","","","","","","","","Over $200,000","2yearColl"
"NH185va","0","2025-11-05 10:37:33","100","28","1","1","","","33","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$0-$20,000","4yearColl"
"RQ056mx","0","2025-11-05 10:38:47","100","25","1","1","","","24","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","White","","","","","","","","$120,001-$140,000","GED"
"HD378xl","0","2025-11-05 10:38:04","100","75","1","1","","","52","I can’t believe this state elected a cheating, lying piece of garbage. I can’t wait to move! Two more years and we are gone. Enjoy! ","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","Over $200,000","4yearColl"
"AS927sn","0","2025-11-05 10:39:17","100","51","1","1","","","28","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","woman","White","","","","","","","","$40,001-$60,000","4yearColl"
"ME301fj","0","2025-11-05 10:43:10","100","36","1","1","","","25","Hated them all as candidates ","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","woman","White","","","","","","","","Over $200,000","4yearColl"
"MQ395px","0","2025-11-05 10:44:29","100","53","1","1","","","54","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","White","","Black or African American","","","","","","$20,001-$40,000","4yearColl"
"AP999xh","0","2025-11-05 10:46:24","100","35","1","1","","","31","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_2}","","","","man","White","","","","","","","","$80,001-$100,000","2yearColl"
"ZD834rf","0","2025-11-05 10:46:28","100","53","1","1","","","46","","Seattle","Bruce Harrell","Katie Wilson","Mayoral","${e://Field/CAND_2}","","","","man","White","","Black or African American","","","","","","$0-$20,000","2yearColl"
"NA908am","0","2025-11-05 10:46:17","100","76","1","1","","","20","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","I have not voted","","man","","","","Asian","","","","","$20,001-$40,000","GED"
"TN954ai","0","2025-11-05 10:49:13","100","39","1","1","","","30","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","","","","","woman","","","Black or African American","","","","","","$0-$20,000","2yearColl"
"SL096ra","0","2025-11-05 10:53:02","100","54","1","1","","","73","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_2}","","","","woman","","","Black or African American","","","","","","$60,001-$80,000",NA
"FK447if","0","2025-11-05 10:58:44","100","30","1","1","","","51","","New Jersey","Jack Ciattarelli","Mikie Sherill","Gubernatorial","${e://Field/CAND_1}","","","","woman","White","","","","","","","","Over $200,000","2yearColl"
"UW645mh","0","2025-11-05 11:03:53","100","39","1","1","","","37","none","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_1}","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","4yearColl"
"IM950ps","0","2025-11-05 11:04:27","100","27","1","1","","","41","","New York City","Zohran Mamdani","Andrew Cuomo","Mayoral","","","${e://Field/CAND_2}","","woman","","","","Asian","","","","","Over $200,000","4yearColl"
"YV981cx","0","2025-11-05 11:05:15","100","38","1","1","","","22","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_2}","","","","woman","White","","","","","","","","$20,001-$40,000","2yearColl"
"HQ538ym","0","2025-11-05 11:06:16","100","79","1","1","","","61","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_1}","","","","woman","White","","","","","","","","$40,001-$60,000","2yearColl"
"GY109bx","0","2025-11-05 11:12:51","100","19","1","1","","","29","","Minneapolis","Jacob Frey","Omar Fateh","Mayoral","${e://Field/CAND_2}","","","","man","White","","","","","","","","$100,001-$120,000","PHD"
