"PID","Status","Progress","Duration..in.seconds.","Finished","consent","ideo","gender_.99_TEXT","race_8_TEXT","age","lebe_cont_1","check_2","feedback","cond","noparty.1","outparty.1","inparty.1","noparty_party","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind","outparty","inparty","noparty"
"GM461uf","0","100","67","1","1","2","","","40","20","Blue","","inparty","0","Republican","Democratic","","man","White","","","","","","","","$140,001-$160,000","MA","Democrat","","Strong","","","","CANDIDATE A",""
"YF144ui","0","100","66","1","1","2","","","43","31","orange","","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Democrat","","Strong","","","CANDIDATE A","",""
"AT329lp","0","100","60","1","1","1","","","51","15","blue","None","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$140,001-$160,000","MA","Democrat","","Strong","","","CANDIDATE A","",""
"FH613az","0","100","73","1","1","4","","","47","28","orange","","inparty","1","","","Republican","man","White","","","","","","","","Over $200,000","4yearColl","Independent","","","","Neither","","","CANDIDATE A"
"LN517hd","0","100","71","1","1","4","","","33","24","blue","","outparty","0","Democratic","Republican","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Independent","","","","Closer to Republican","CANDIDATE B","",""
"PR667kh","0","100","66","1","1","1","","","39","78","clear","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Democrat","","Strong","","","","CANDIDATE A",""
"GK098gr","0","100","49","1","1","2","","","36","65","yellow","","outparty","0","Republican","Democratic","","woman","","","Black or African American","Asian","","","","","$20,001-$40,000","4yearColl","Independent","","","","Closer to Democratic","CANDIDATE A","",""
"RL064ob","0","100","142","1","1","4","","","55","90","blue","","inparty","0","Republican","Democratic","","man","White","","","","","","","","$0-$20,000","GED","Independent","","","","Closer to Democratic","","CANDIDATE B",""
"AM068br","0","100","53","1","1","1","","","64","0","Green","","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Strong","","","CANDIDATE A","",""
"TP083ol","0","100","101","1","1","4","","","39","40","Green","Thanks for this opportunity!","inparty","1","","","Republican","woman","White","","","","","Middle Eastern or North African","","","$180,001-$200,000","4yearColl","Independent","","","","Neither","","","CANDIDATE B"
"RO054wa","0","100","94","1","1","6","","","45","41","green","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$20,001-$40,000","2yearColl","Republican","","","Not very strong","","CANDIDATE B","",""
"CM264vy","0","100","116","1","1","3","","","58","20","Blue","All good thanks","outparty","0","Republican","Democratic","","man","White","","","","","","","","$100,001-$120,000","MA","Democrat","","Not very strong","","","CANDIDATE A","",""
"NX839ff","0","100","75","1","1","3","","","42","70","Purple","Best of luck with your research!","inparty","0","Republican","Democratic","","man","White","","","","","","","","$60,001-$80,000","4yearColl","Independent","","","","Closer to Democratic","","CANDIDATE A",""
"LV149eo","0","100","103","1","1","2","","","29","9","purple","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Strong","","","","CANDIDATE B",""
"MH400do","0","100","113","1","1","3","","","51","39","blue","None","inparty","0","Republican","Democratic","","woman","White","Hispanic, Latino, or Spanish origin","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Not very strong","","","","CANDIDATE B",""
"QF121zl","0","100","139","1","1","4","","","57","0","blue","","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Democrat","","Not very strong","","","CANDIDATE A","",""
"NW197le","0","100","174","1","1","5","","","75","40","blue","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$40,001-$60,000","noHS","Democrat","","Not very strong","","","","CANDIDATE B",""
"UP943dx","0","100","81","1","1","1","","","47","50","Blue","","inparty","0","Republican","Democratic","","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$180,001-$200,000","4yearColl","Democrat","","Strong","","","","CANDIDATE B",""
"EO205ao","0","100","111","1","1","4","","","61","60","blue","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Not very strong","","","CANDIDATE A",""
"FU276re","0","100","170","1","1","5","","","50","60","blue","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Not very strong","","CANDIDATE A","",""
"CZ829ex","0","100","144","1","1","2","","","34","70","green","","outparty","0","Republican","Democratic","","man","White","","","","","","","","$140,001-$160,000","PHD","Democrat","","Strong","","","CANDIDATE B","",""
"TA975ee","0","100","97","1","1","6","","","45","76","black","","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Strong","","","CANDIDATE A",""
"IF023aa","0","100","123","1","1","5","","","30","51","Red","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Not very strong","","CANDIDATE B","",""
"JN709lo","0","100","130","1","1","1","","","61","80","lilac","","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Strong","","","CANDIDATE B","",""
"YQ283xw","0","100","299","1","1","5","","","39","70","black","","outparty","0","Republican","Democratic","","man","","","Black or African American","","","","","","$40,001-$60,000","GED","Democrat","","Not very strong","","","CANDIDATE A","",""
"PL734se","0","100","167","1","1","4","","","35","41","Blue","","outparty","0","Republican","Democratic","","man","","","","Asian","","","","","$140,001-$160,000","4yearColl","Democrat","","Not very strong","","","CANDIDATE A","",""
"BR678uf","0","100","86","1","1","4","","","35","25","Purple","","inparty","0","Democratic","Republican","","man","White","","","","","","","","$0-$20,000","2yearColl","Independent","","","","Closer to Republican","","CANDIDATE A",""
"HY725cx","0","100","66","1","1","4","","","25","14","Yellow","","outparty","0","Democratic","Republican","","man","White","","","","","","","","$120,001-$140,000","4yearColl","Independent","","","","Closer to Republican","CANDIDATE A","",""
"HH747lc","0","100","58","1","1","2","","","46","80","blue","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$20,001-$40,000","MA","Democrat","","Strong","","","","CANDIDATE A",""
"KL622wi","0","100","121","1","1","6","","","79","20","blue","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$20,001-$40,000","4yearColl","Republican","","","Strong","","","CANDIDATE A",""
"TY762ek","0","100","74","1","1","2","","","77","74","blue","why ask about color??????","outparty","0","Republican","Democratic","","man","White","","","","","","","","$80,001-$100,000","PHD","Democrat","","Strong","","","CANDIDATE A","",""
"OJ205mw","0","100","72","1","1","5","","","41","52","green","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$160,001-$180,000","4yearColl","Republican","","","Not very strong","","","CANDIDATE B",""
"QI672he","0","100","90","1","1","2","","","21","65","Yellow","","inparty","0","Democratic","Depublican","","man","White","","","Asian","","","","","$80,001-$100,000","GED","Republican","","","Not very strong","","","CANDIDATE B",""
"JU662kd","0","100","58","1","1","1","","","23","24","blue","","inparty","0","Republican","Democratic","","man","White","","","","","Middle Eastern or North African","","","$140,001-$160,000","GED","Democrat","","Strong","","","","CANDIDATE B",""
"MW506pv","0","100","276","1","1","2","","","41","20","green","n/a","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$140,001-$160,000","GED","Democrat","","Not very strong","","","CANDIDATE A","",""
"IP919fx","0","100","97","1","1","2","","","54","20","blue","","inparty","0","Republican","Democratic","","man","White","","","","","","","","$20,001-$40,000","2yearColl","Democrat","","Not very strong","","","","CANDIDATE A",""
"EY323dw","0","100","168","1","1","4","","","25","70","Red","","inparty","0","Republican","Democratic","","man","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Democratic","","CANDIDATE B",""
"MG595cr","0","100","59","1","1","1","","","36","63","blue","","outparty","0","Republican","Democratic","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Strong","","","CANDIDATE A","",""
"XY613qv","0","100","67","1","1","1","","","48","20","pink","","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$140,001-$160,000","4yearColl","Democrat","","Strong","","","CANDIDATE B","",""
"NC157ds","0","100","69","1","1","2","","","31","23","pink","","outparty","0","Republican","Democratic","","woman","White","","","","","","","","Over $200,000","MA","Democrat","","Strong","","","CANDIDATE A","",""
"DI340ri","0","100","142","1","1","6","","","67","5","blue","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$100,001-$120,000","2yearColl","Republican","","","Not very strong","","CANDIDATE B","",""
"DK312wp","0","100","204","1","1","6","","","59","40","black","n/a","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$0-$20,000","4yearColl","Republican","","","Not very strong","","CANDIDATE B","",""
"MX495nx","0","100","110","1","1","4","","","72","20","Blue","","inparty","0","Democratic","Republican","","woman","White","","","","","","","","$40,001-$60,000","2yearColl","Independent","","","","Closer to Republican","","CANDIDATE A",""
"QW628jp","0","100","196","1","1","4","","","36","79","green","","inparty","0","Republican","Democratic","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","GED","Democrat","","Not very strong","","","","CANDIDATE B",""
"NW016yx","0","100","202","1","1","6","","","57","85","blue","none","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Not very strong","","","CANDIDATE B",""
"JR491re","0","100","458","1","1","1","","","39","79","black","","outparty","0","Republican","Democratic","","woman","White","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","2yearColl","Democrat","","Strong","","","CANDIDATE A","",""
"MS882pp","0","100","99","1","1","3","","","45","85","Teal","Thanks for letting me participate.","outparty","0","Republican","Democratic","","man","White","","","","","","","","$0-$20,000","2yearColl","Independent","","","","Closer to Democratic","CANDIDATE A","",""
"VU929vs","0","100","96","1","1","7","","","46","40","blue","I wouldn't vote for either. I'm a Republican.","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Strong","","CANDIDATE A","",""
"BW291ua","0","100","112","1","1","6","","","43","20","blue","n/a","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$80,001-$100,000","GED","Republican","","","Not very strong","","","CANDIDATE B",""
"MJ793bj","0","100","96","1","1","2","","","36","38","purple","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","","","","CANDIDATE A",""
"MP802au","0","100","343","1","1","3","","","35","30","blue","","outparty","0","Republican","Democratic","","man","","Hispanic, Latino, or Spanish origin","Black or African American","","","","","","$40,001-$60,000","GED","Democrat","","Not very strong","","","CANDIDATE B","",""
"DR801pd","0","100","73","1","1","4","","","33","28","Blue","Thanks for the opportunity ","inparty","0","Republican","Democratic","","man","White","","","","","","","","$40,001-$60,000","4yearColl","Independent","","","","Closer to Democratic","","CANDIDATE A",""
"FJ456tj","0","100","54","1","1","3","","","42","43","Green","","inparty","0","Republican","Democratic","","man","","","","Asian","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","","","","CANDIDATE A",""
"DF200yi","0","100","191","1","1","2","","","26","40","Purple","I enjoyed the study and didn't experience any issues with it.","inparty","0","Republican","Democratic","","man","White","","","","","","","","$60,001-$80,000","2yearColl","Democrat","","Strong","","","","CANDIDATE B",""
"LE302dt","0","100","165","1","1","7","","","40","39","blue","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Strong","","CANDIDATE A","",""
"NO871cc","0","100","52","1","1","6","","","57","0","Blue","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$180,001-$200,000","4yearColl","Republican","","","Strong","","CANDIDATE B","",""
"DT972eh","0","100","50","1","1","7","","","32","80","Red","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Strong","","","CANDIDATE B",""
"PH536bp","0","100","79","1","1","6","","","39","0","blue","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Strong","","CANDIDATE B","",""
"CN718kc","0","100","71","1","1","2","","","32","67","Red","","inparty","0","Republican","Democratic","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Not very strong","","","","CANDIDATE B",""
"SR521jh","0","100","71","1","1","6","","","35","40","Green","no comments thank you","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$160,001-$180,000","4yearColl","Republican","","","Strong","","","CANDIDATE A",""
"ZK401lr","0","100","78","1","1","1","","","67","10","green","","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$120,001-$140,000","4yearColl","Democrat","","Strong","","","CANDIDATE A","",""
"FR541ng","0","100","132","1","1","6","","","54","25","green","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$20,001-$40,000","2yearColl","Republican","","","Not very strong","","CANDIDATE A","",""
"TZ585mz","0","100","76","1","1","6","","","42","0","Black","Nothing to add here","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$140,001-$160,000","4yearColl","Republican","","","Not very strong","","CANDIDATE A","",""
"BD643wm","0","100","155","1","1","7","","","53","0","Blue","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","Over $200,000","MA","Republican","","","Not very strong","","","CANDIDATE B",""
"EW248rz","0","100","63","1","1","6","","","24","0","red","none","inparty","0","Democratic","Depublican","","woman","White","","","","","Middle Eastern or North African","","","$120,001-$140,000","4yearColl","Republican","","","Strong","","","CANDIDATE A",""
"CV789cp","0","100","93","1","1","6","","","29","56","Blue","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$0-$20,000","4yearColl","Republican","","","Not very strong","","","CANDIDATE B",""
"XP500cp","0","100","122","1","1","1","","","30","32","black","","outparty","0","Republican","Democratic","","woman","White","","","Asian","","","","","$80,001-$100,000","MA","Democrat","","Strong","","","CANDIDATE B","",""
"HW183ew","0","100","96","1","1","6","","","57","4","Green","Merry Christmas!","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$160,001-$180,000","MA","Republican","","","Strong","","CANDIDATE B","",""
"VT533kc","0","100","82","1","1","2","","","46","42","Green","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$80,001-$100,000","2yearColl","Democrat","","Strong","","","","CANDIDATE B",""
"JZ225wq","0","100","50","1","1","2","","","30","30","blue","none","outparty","0","Republican","Democratic","","man","","","","Asian","","","","","$140,001-$160,000","4yearColl","Democrat","","Strong","","","CANDIDATE A","",""
"AC832hj","0","100","142","1","1","2","","","40","80","black","","inparty","0","Republican","Democratic","","man","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Not very strong","","","","CANDIDATE B",""
"FC166ol","0","100","144","1","1","6","","","65","18","Pink","None","inparty","0","Democratic","Depublican","","woman","","","Black or African American","","","","","","$60,001-$80,000","2yearColl","Republican","","","Not very strong","","","CANDIDATE B",""
"NA073ss","0","100","106","1","1","1","","","75","0","blue","","outparty","0","Republican","Democratic","","man","White","","","","","","","","$40,001-$60,000","PHD","Democrat","","Strong","","","CANDIDATE A","",""
"SM942or","0","100","57","1","1","1","","","23","42","Blue","","outparty","0","Republican","Democratic","","man","","Hispanic, Latino, or Spanish origin","Black or African American","","","","","","$40,001-$60,000","GED","Democrat","","Strong","","","CANDIDATE B","",""
"NR285vd","0","100","71","1","1","2","","","24","30","red","Interesting study. ","outparty","0","Republican","Democratic","","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","GED","Independent","","","","Closer to Democratic","CANDIDATE A","",""
"YJ296sl","0","100","116","1","1","3","","","41","0","Blue","","inparty","0","Republican","Democratic","","man","White","","","","","","","","$0-$20,000","4yearColl","Democrat","","Not very strong","","","","CANDIDATE B",""
"JN237yf","0","100","68","1","1","2","","","46","85","blue","None, thank you.","inparty","0","Republican","Democratic","","man","White","","","","","","","","$20,001-$40,000","PHD","Democrat","","Strong","","","","CANDIDATE A",""
"MZ840bn","0","100","60","1","1","1","","","28","75","Purple","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$140,001-$160,000","PHD","Democrat","","Strong","","","","CANDIDATE B",""
"CR442uz","0","100","57","1","1","6","","","46","0","Blue","","outparty","0","Democratic","Depublican","","man","White","","","Asian","","","Native Hawaiian or Other Pacific Islander","","Over $200,000","4yearColl","Republican","","","Not very strong","","CANDIDATE A","",""
"TN384qu","0","100","91","1","1","4","","","49","78","Green ","","outparty","0","Republican","Democratic","","woman","White","","","","","","","","$0-$20,000","GED","Democrat","","Not very strong","","","CANDIDATE A","",""
"UT437xa","0","100","112","1","1","7","","","30","11","red","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Strong","","CANDIDATE A","",""
"UJ831cu","0","100","58","1","1","6","","","33","81","green","","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Not very strong","","","CANDIDATE B",""
"PU765nf","0","100","75","1","1","1","","","31","35","purple","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$80,001-$100,000","PHD","Democrat","","Strong","","","","CANDIDATE A",""
"GU996iw","0","100","97","1","1","4","","","36","65","blue","","inparty","1","","","Democratic","man","White","","","","","","","","$20,001-$40,000","2yearColl","Independent","","","","Neither","","","CANDIDATE B"
"SQ092gr","0","100","138","1","1","6","","","62","0","green","none","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Not very strong","","","CANDIDATE B",""
"FP677jq","0","100","94","1","1","2","","","19","29","green","","outparty","0","Republican","Democratic","","woman","","Hispanic, Latino, or Spanish origin","Black or African American","","","","","","$120,001-$140,000","GED","Independent","","","","Closer to Democratic","CANDIDATE B","",""
"TS445ok","0","100","92","1","1","3","","","64","85","Black","","outparty","0","Republican","Democratic","","man","","","Black or African American","","","","","","$40,001-$60,000","GED","Democrat","","Strong","","","CANDIDATE B","",""
"EQ636xk","0","100","91","1","1","6","","","58","0","green","thanks","outparty","0","Democratic","Depublican","","man","White","","","","","","","","Over $200,000","MA","Republican","","","Not very strong","","CANDIDATE A","",""
"NX641kb","0","100","89","1","1","5","","","59","30","green","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","$40,001-$60,000","2yearColl","Republican","","","Strong","","","CANDIDATE A",""
"DT995kn","0","100","89","1","1","2","","","40","25","Yellow","","inparty","0","Republican","Democratic","","woman","","","Black or African American","","","","","","$40,001-$60,000","MA","Democrat","","Strong","","","","CANDIDATE A",""
"KC732iq","0","100","56","1","1","6","","","66","25","red","","inparty","0","Democratic","Depublican","","man","White","","","","","","","","Over $200,000","PHD","Republican","","","Strong","","","CANDIDATE B",""
"VD355ny","0","100","58","1","1","3","","","28","57","blue","n/a","inparty","0","Republican","Democratic","","woman","","","","Asian","","","","","$180,001-$200,000","PHD","Democrat","","Not very strong","","","","CANDIDATE A",""
"FS202aa","0","100","101","1","1","5","","","50","26","purple","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Not very strong","","CANDIDATE A","",""
"XZ062nu","0","100","77","1","1","4","","","43","60","Blue","","outparty","1","","","Democratic","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","4yearColl","Independent","","","","Neither","","","CANDIDATE A"
"BG185ic","0","100","84","1","1","4","","","56","41","red","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$100,001-$120,000","GED","Republican","","","Not very strong","","CANDIDATE A","",""
"XD649da","0","100","77","1","1","1","","","29","51","pink","","inparty","0","Republican","Democratic","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$60,001-$80,000","GED","Independent","","","","Closer to Democratic","","CANDIDATE B",""
"LG968zm","0","100","203","1","1","4","","","28","60","Green","","outparty","1","","","Republican","woman","","","","Asian","","","","","$40,001-$60,000","4yearColl","Independent","","","","Neither","","","CANDIDATE A"
"LU129nu","0","100","63","1","1","2","","","35","60","Green","","outparty","0","Republican","Democratic","","man","White","","","","","","","","$0-$20,000","GED","Independent","","","","Closer to Democratic","CANDIDATE A","",""
"VC640nd","0","100","93","1","1","3","","","40","23","green","","outparty","0","Republican","Democratic","","man","White","","","","","","","","$40,001-$60,000","2yearColl","Democrat","","Not very strong","","","CANDIDATE A","",""
"KG839le","0","100","103","1","1","5","","","35","40","blue","n/a","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$120,001-$140,000","GED","Republican","","","Not very strong","","CANDIDATE A","",""
"XD059nt","0","100","119","1","1","7","","","57","0","blue","","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","Over $200,000","4yearColl","Republican","","","Strong","","","CANDIDATE B",""
"HS480le","0","100","182","1","1","6","","","52","22","blue","","inparty","0","Democratic","Depublican","","woman","White","","","","","","","","$40,001-$60,000","2yearColl","Republican","","","Not very strong","","","CANDIDATE B",""
"IA751hb","0","100","130","1","1","7","","","31","0","Pink","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$120,001-$140,000","2yearColl","Republican","","","Strong","","CANDIDATE B","",""
"VK861bd","0","100","75","1","1","2","","","73","61","blue","none","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$20,001-$40,000","GED","Democrat","","Strong","","","","CANDIDATE B",""
"SD166hu","0","100","54","1","1","6","","","30","100","Purple","Thank you","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong","","CANDIDATE A","",""
"YK419tj","0","100","76","1","1","4","","","60","37","Green","","inparty","0","Republican","Democratic","","man","White","","","","","","","","$100,001-$120,000","2yearColl","Independent","","","","Closer to Democratic","","CANDIDATE B",""
"RC363rk","0","100","57","1","1","1","","","25","30","purple","","inparty","0","Republican","Democratic","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Strong","","","","CANDIDATE A",""
"PY096lq","0","100","74","1","1","6","","","42","20","purple","","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$20,001-$40,000","4yearColl","Republican","","","Not very strong","","CANDIDATE A","",""
"QE558ou","0","100","105","1","1","6","","","51","80","green","","outparty","0","Democratic","Depublican","","man","White","","","","","","","","$60,001-$80,000","4yearColl","Republican","","","Not very strong","","CANDIDATE B","",""
"GW018bg","0","100","70","1","1","4","","","56","100","blue","","inparty","0","Republican","Democratic","","woman","White","","","","","","","","$0-$20,000","GED","Independent","","","","Closer to Democratic","","CANDIDATE A",""
"HG576tc","0","100","241","1","1","6","","","70","0","Beige","I sincerely hope my response will help with your research. Thank you and have a nice day ","outparty","0","Democratic","Depublican","","woman","White","","","","","","","","$40,001-$60,000","2yearColl","Republican","","","Strong","","CANDIDATE A","",""
