"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","gender_.99_TEXT","race_8_TEXT","age","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","describe","how_1","why_1","why_2","why_3","why_4","why_5","IOS","antidem_1","antidem_2","antidem_3","antidem_4","antidem_5","elect","antiest_1","antiest_2","antiest_3","antiest_4","trust_con","trust_gov","trust_jud","trust_sci","trust_pol","trust_news","polparticip_1","polparticip_2","polparticip_3","polparticip_4","polparticip_5","polparticip_6","check_1","feedback","inparty","outparty","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind","vote_2024","vote_2024_12_TEXT","vote_now","vote_now_12_TEXT"
"KV213ic","0","100","301","1","1","4","","","64","6","2","1","4","4","The person would be someone who is unmotivated and getting nowhere in life. The person is highly influential and not able to come up with original ideas. ","21","Money","Housing","Affordability ","","","1","4","2","2","3","3","2","3","5","5","3","3","2","3","3","2","1","2","1","1","1","1","1","Blue","","Republican Party","Democratic Party","man","White","","","","","","","","$40,001-$60,000","4yearColl","Republican","","","Strong","","Donald Trump (Republican Party)","","J. D. Vance (Republican Party)",""
"LD857oy","0","100","302","1","1","4","","","23","1","3","3","2","3","I think poor people are feeling left behind. They are low income, with not many means to find a job, let alone a way to travel to a job because they cannot afford a car. They rely on friends and family to help them out to get their own groceries, which they cannot afford much of ","6","money","jobs","social status","","","2","1","1","2","1","2","2","7","7","6","1","1","1","2","3","1","2","3","1","5","4","3","4","purple","","Democratic Party","Republican Party","woman","White","","","","","","","","$20,001-$40,000","GED","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"YB397tb","0","100","583","1","1","4","","","58","2","6","5","","3","With the rollback or elimination of DEI practices, many people are feeling that impact of not getting support or community. Also with costs going up for everything, people who are middle class and below are impacted a lot with shrinking budgets and putting off purchases or doing things they enjoy. These people are struggling to make ends meet and possibly unemployed.","50","Costs higher for everything ","No DEI support ","Fear of government ","Unemployment high ","Can’t make ends meet ","3","2","2","2","2","2","2","5","5","5","3","2","1","1","4","2","1","4","4","3","4","4","3","Blue","","Democratic Party","Republican Party","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"YW134br","0","100","272","1","1","4","","","35","1","3","5","1","5","I think pretty much everyone under the age of 40 is feeling left behind by the way things are currently being done in the United States. There are now not just one, but multiple generations of people who grew up in a world where social and economic advancement is nearly impossible, people who have been fighting for their lives for their entire life. Wages are stagnant, jobs are being automated, education is being attacked and defunded, all while our political and commercial elite class overlords push us into meaningless conflict over social issues like gender and sexuality.","50","No economic mobility","Stagnant wages","Job insecurity","Lack of leisure","Antagonistic news media","5","1","1","1","1","1","2","7","7","7","1","1","1","1","4","1","1","5","5","5","5","5","5","blue","N/A","Democratic Party","Republican Party","man","White","","","","","","","","$20,001-$40,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"LG535zl","0","100","354","1","1","4","","","60","1","7","7","1","5","They will be just like me because I AM the person you described. Whites hate me, Natives hate me, men hate me. I can barely afford groceries. My electric will be turned off Monday because I'm $20.00 short. My ceiling is collapsing and I can't afford a new home. I am literally dying of poverty and Trump feels like I should give even more to a country that hates me.","42","racism","poverty","uneducated","unseen","unheard","5","1","5","1","1","2","2","7","7","7","1","1","1","2","4","1","2","5","4","5","1","3","5","black","","Democratic Party","Republican Party","woman","White","","","","American Indian or Alaska Native","","","","$0-$20,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"LA424lb","0","100","382","1","1","4","","","42","4","4","5","4","4","I feel those who aren't educated, poor and/or don't have the skills to advance in life. They grew up poor, live in a poor area and just don't feel they can crawl up the social ladder. They feel the gap is growing and it will continue to do so.","19","lack of skills","low social status","no money","in debt","poor health","1","","","","","","2","5","5","6","3","2","2","3","4","2","1","2","2","1","1","1","1","blue","","Non-Partisan","Non-Partisan","man","White","","","","","","","","$100,001-$120,000","4yearColl","Independent","","","","Neither","Kamala Harris (Democratic Party)","","J. D. Vance (Republican Party)",""
"NK673ap","0","100","371","1","1","4","","","44","1","7","6","1","7","I think anyone who is not a white Christian male at this point is being left behind and they are feeling it more now than ever. This includes anybody who is non-binary gendered, any minority races, women, and anyone that is not subscribed to the Christian ideology.","50","Conservative politics","Rise in intolerance","Disregard for protection of equality","","","2","4","1","1","4","1","1","7","6","1","1","1","2","1","4","1","2","1","1","2","1","1","1","Blue","","Democratic Party","Republican Party","man","White","","","","","","","","Over $200,000","4yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"KD900dx","0","100","224","1","1","4","","","39","1","6","2","1","6","The person who is feeling left behind is the one who is working full time and still not making enough to support their family. ","14","they are trying their best and its not good enough","they are struggling ","they see other people living better than them","","","2","1","1","1","1","1","2","6","7","5","3","3","3","3","4","2","3","1","1","1","1","1","1","blue","","Democratic Party","Republican Party","man","White","","","","","Middle Eastern or North African","","","Over $200,000","4yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"GA854dt","0","100","405","1","1","4","","","30","1","6","3","5","7","I think the poor and under/uneducated are the ones being left behind. They don't have the means to pursue a higher skillset to keep up with the advancements of today's society. Most higher-paying careers now require college degrees, and someone who lives in a poorer, more rural area wouldn't be able to afford or even access this higher learning because of their location. ","10","Lack of resources","Lack of connections","Limited skillset","Limited to no education opportunities ","Rural/underdeveloped location","2","1","1","1","1","1","1","7","5","5","2","3","2","3","4","2","1","1","1","1","1","1","1","Blue","Thank you!","Democratic Party","Republican Party","woman","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"RJ549rq","0","100","421","1","1","4","","","60","4","4","4","4","4","It is the people who are living pay check to pay check. Unable to find a decent job that covers expenses. Those who can not afford a home, car or basic necessities. Those who do not have the resources to attend higher education without being in debt.","0","jobs","education","opportunities","security","health","2","1","1","1","1","1","2","5","4","5","4","2","2","3","4","2","3","3","1","1","1","1","1","blue","no thank  you","Democratic Party","Republican Party","woman","White","","","Asian","","","","","$120,001-$140,000","4yearColl","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"QD250oo","0","100","388","1","1","4","","","34","1","7","7","4","6","The people being left behind are the middle class and poor people. The rich keep getting richer and everyone else isnt. The divide grows everyday. We have less rights than we used to. Less freedom. And less help from the government. ","18","Less government help","Stagnent wages","Being taken advantage of","Priced out of home ownership","","5","1","2","6","4","1","2","7","6","6","2","1","1","1","4","1","1","4","1","2","1","1","1","Blue","","Democratic Party","Republican Party","man","White","","","","","","","","$80,001-$100,000","GED","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"FF403ay","0","100","309","1","1","4","","","53","4","5","5","5","4","I think the gap is widening between upper middle class and  middle class and those socioeconomically   I think America is set up for those who have financial means and have a grown-up with a life of privilege. ","50","Born into poverty ","Limited access to higher education","Limited parental interaction/involvement","","","2","1","6","2","1","1","2","7","6","3","5","3","3","3","4","3","3","4","1","4","4","3","1","Green ","","Democratic Party","Republican Party","woman","White","","","","","","","","$40,001-$60,000","MA","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"OD372si","0","100","456","1","1","4","","","75","1","6","6","4","4","In the past 50 years, economic policies and political power have increasingly favored the rich over the rest of society, and created a great disparity that is felt more and more urgently by people left behind. If people were to have the same lifestyle as they did 50 years ago, the federal minimum wage would be $24/hour vs the current $7.75/hour. ","30","Economic disparity","Cost of housing","social deteriorization due to drug use","Gradual realization of how advantaged the rich are","Both major political parties leaving the middle and lower classes behind","3","1","1","1","1","1","2","7","6","4","2","1","2","3","4","1","4","4","1","4","4","4","2","blue","Why do you ask for my favorite color? That question seems more and more common.","Democratic Party","Republican Party","man","White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"QY965yz","0","100","345","1","1","4","","","67","7","1","1","4","1","The average white American is being left behind. Prices rising, benefits for illegals and others takes away things from regular people. Being white and middle class is not an asset anymore. ","40","Racial inequality","Bottom of the list for social services","Economy benefits others","","","3","2","3","2","5","2","2","5","7","6","2","1","2","2","2","1","1","2","1","2","1","1","1","pink","","Republican Party","Democratic Party","woman","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"SL728en","0","100","294","1","1","4","","","39","1","5","","2","1","I think that immigrants are being left behind based on how things are going in the United States. I think that a lot of people who have come here from other countries illegal or legal are being left behind. They are being undervalued and people want them sent back to their country of origin.","50","because some are being sent back to their original countries","they have less rights","they are being harassed","they aren't being accepted","","1","1","1","1","1","1","2","6","5","5","3","2","2","2","3","2","2","1","1","1","1","1","1","green","","Democratic Party","Republican Party","woman","White","","","","","","","","$80,001-$100,000","GED","Democrat","","Not very strong","","","I did not vote","","Kamala Harris (Democratic Party)",""
"FS264fn","0","100","469","1","1","4","","","64","7","1","1","6","1","People who used to work factory jobs, manufacturing products either skilled or unskilled, mainly in the rust belt.","44","lack of jobs","low wages","poor education","","","1","4","2","2","7","4","2","5","6","6","2","1","3","3","3","2","1","4","2","5","1","2","1","blue","","Republican Party","Democratic Party","man","White","","","","","","","","$20,001-$40,000","2yearColl","Republican","","","Strong","","Robert F. Kennedy Jr. (Independent)","","J. D. Vance (Republican Party)",""
"OP440di","0","100","393","1","1","4","","","61","7","1","1","4","1","I guess the kind of person that is feeling left behind is someone who either doesn't want to work, isn't educated, or is depressed or sick.  I think if one is feeling left behind, they should change their life or lifestyle.  I believe anyone in this country can get ahead if they are committed to doing so. ","51","poor","depressed","lazy","sick","","1","4","1","1","2","1","2","3","3","5","5","3","3","4","4","3","2","5","5","3","1","1","1","blue","","Republican Party","Democratic Party","woman","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"FX295ed","0","100","249","1","1","4","","","34","7","1","1","2","1","I believe that the people that are feeling left behind are illegal immigrants, immigrants and blacks. I believe this because it is blasted all over social media. ","54","unable to get a job","unable to get benefits","unable to get housing","looked down upon by society ","","3","1","1","4","4","4","2","5","7","7","1","1","1","1","1","1","1","4","4","4","4","2","2","purple","","Republican Party","Democratic Party","woman","White","","","","","","","","$100,001-$120,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"TG401vr","0","100","286","1","1","4","","","53","4","2","5","2","5","single men are feeling left behind because they lack the social skills and emotional depth to form friendships and romantic relationships","100","lack of friendship","socially awkward","isolation","","","2","2","3","3","4","2","2","6","5","6","3","1","2","2","4","1","2","4","1","4","2","2","2","blue","","Democratic Party","Republican Party","woman","White","","","","","","","","$180,001-$200,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"IY384yq","0","100","319","1","1","4","","","43","7","7","6","6","6","I feel that many people are feeling left out right now. I imagine immigrants are feeling unsafe. Also women, and members of the LGBTQ plus community must feel unsafe with the current state of the US. They are different than most people and many are trying to ""other"" them. They are probably concerned and afraid. ","74","Trump","US Policies","Housing Costs","Ice","Discrimination","2","1","1","1","2","1","1","6","5","5","5","3","3","2","4","3","3","3","3","4","2","2","2","black","","Democratic Party","Republican Party","man","White","","","","","","","","$60,001-$80,000","2yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"KX827gq","0","100","521","1","1","4","","","33","4","4","","","","I think the kind of people they are describing are generally low income and disabled people. Also I think it’s aimed towards minorities and immigrants. The way the United States treats people that are different is disgusting and unacceptable. Their culture is disregarded and disrespected constantly. Low income people from all races are significantly less likely to succeed in todays world and economy. Wealth distribution is way off and certain people benefit greatly from it","57","Inequality ","Classism ","Racism ","Sexism","","2","","","","","","2","7","7","4","3","2","2","2","3","1","1","2","1","1","1","1","1","Blue","Thanks for the opportunity ","Non-Partisan","Non-Partisan","man","White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Neither","I did not vote","","I would not vote",""
"TA972nt","0","100","458","1","1","4","","","42","7","1","1","1","1","The people who are most feeling ""left behind"" these days are the victims of crimes in democratic states. The reason for that is democrat politicians always go for soft on crime policies. For example, they often take into consideration the suspect's race or sex and if they are found to be ""minorities"", they'll lower the bond or just make them do community service. There are also many examples of these blue states releasing dangerous criminals back into society, only for the criminals to immediately get back into killing or raping people. In blue states, it's the innocent people who suffer and the criminals are treated a lot better.","100","Politicians promote soft on crime policies, which helps criminals.","Punishments for criminals are lowered, making victims or their families feel unheard and deprived of justice.","Legal immigrants in blue states, who have worked so hard and sacrificed so much to become legal residents or citizens, have to compete with illegal immigrants for jobs and resources when the illegals aren't even supposed to be here in the first place.","","","5","7","4","4","4","1","1","1","1","1","5","3","3","3","4","3","1","5","1","1","1","1","1","Green","All's good thanks.","Republican Party","Democratic Party","man","","","","Asian","","","","","$80,001-$100,000","4yearColl","Republican","","","Strong","","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"HF012at","0","100","546","1","1","4","","","34","6","6","5","5","5","Definitely those who are minorities. Immigrants, people of colour, LGBTQ+ members, and women. ","96","Gay marriage isn't federally legal everywhere","Trans people are not accepted ","People of colour don't get the same oppurtunties","Immigrants are being deported","Women are not being seen as equal to men","2","2","3","2","2","2","1","6","5","3","3","2","2","2","4","2","2","4","4","1","1","1","1","Pink","","Democratic Party","Republican Party","woman","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"IQ592yq","0","100","368","1","1","4","","","53","2","5","2","5","2","Unfortunately anyone that wants to have civil rights or freedom is being left behind right now.  The current administration is alienating just about everyone with its policies.  Basic rights and abilities are being stripped simply on a whim.","17","Rights are being taken away illegally ","Oppression of protected freedoms ","Lying from the government ","","","5","1","1","1","1","4","2","7","6","5","1","1","1","1","4","1","2","5","5","5","4","5","3","Blue ","","Democratic Party","Republican Party","man","White","","","","","","","","$100,001-$120,000","2yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"AS180pr","0","100","1023","1","1","4","","","57","1","7","","","7","Those who feel left behind are not being helped by society in securing what I believe are human inalienable rights. These rights include housing, food, clothing, education, healthcare, Internet, smartphones, computers, transportation, to name a few. People need these to survive in today's world, and to deny any of these or to say that these rights need to be earned or bought is sacrilege in my mind. Of course people will feel left behind if you tell them or make it clear that they do not have money so they're deemed worthless or lesser than others who have money.","0","No housing","No food","No healthcare","No education opportunity ","No communication resources(i.e. Internet, smartphone, computer)","4","2","2","2","2","5","1","5","5","5","3","3","3","3","3","2","3","5","1","1","1","1","1","Green","","Democratic Party","Republican Party","woman","White","","","","","","","","$0-$20,000","2yearColl","Democrat","","Strong","","","I did not vote","","Kamala Harris (Democratic Party)",""
"QB803mz","0","100","495","1","1","4","","","42","6","2","2","1","2","I think that a person feeling left behind is someone that works really hard but still struggles to get ahead. I feel they would have a job that doesn't pay much and it doesn't cover all their bills. They might fear loosing their job and it be hard to get another one. I think they live somewhere where opportunities are limited and so are the resources they can get. They probably have lots of worries about their family and the future. They are tired, frustrated and feel like no one really listens to them.","50","low pay or unstable work","limited opportunities","feeling ignored or unheard","","","3","2","1","2","3","2","2","6","7","6","1","2","1","3","1","1","1","1","1","1","1","1","1","purple","","Republican Party","Democratic Party","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)","","I would not vote",""
"SI559oz","0","100","477","1","1","4","","","37","4","2","1","3","1","They're disgruntled. There a feeling of anger and constantly feel as they're being belittle in life.","45","Financially behind their peers. ","Lack of job promotion.","Socially relationship not as what they had imagined.","","","4","1","1","1","1","1","2","6","7","7","1","1","1","1","3","1","1","1","1","1","1","1","1","Blue","","Republican Party","Democratic Party","man","","","","Asian","","","","","$60,001-$80,000","4yearColl","Independent","","","","Closer to Republican","Donald Trump (Republican Party)","","Donald Trump (Republican Party)",""
"NC854jn","0","100","548","1","1","4","","","59","3","3","1","3","4","This person is given very few options. They are ignored and minimized. There are people out there are looked down on and also because they do not have much it is hard to break the cycle of dependency and poverty.","50","access to healthcare","housing issues","cash flow issues","","","2","2","1","2","2","4","1","6","4","4","3","1","2","1","4","2","3","4","2","1","4","2","1","blue","","Democratic Party","Republican Party","man","White","","","","","","","","$20,001-$40,000","4yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"XE154sb","0","100","425","1","1","4","","","45","2","2","2","1","2","A person that is not quite educated and has been wronged by the society a lot of times. The person comes from a poor family and a minority because of his/her race or disability. The person may have depression and is struggling with mental health issue. S/he doesn't have a support group and feels alone. ","40","Economically poor","Uneducated","Depressed","Doesn't have a support group","Discriminated","2","1","1","1","1","1","2","7","6","6","4","1","2","3","3","1","3","3","3","1","1","1","1","Blue","","Democratic Party","Republican Party","woman","","","","Asian","","","","","Over $200,000","4yearColl","Democrat","","Not very strong","","","Kamala Harris (Democratic Party)","","Kamala Harris (Democratic Party)",""
"VB292iw","0","100","404","1","1","4","","","29","1","4","7","1","7","Immigrants are being treated like they're less than human. ICE is out of control and is now funded like a private military. I'd say that's a form of being left behind when your rights aren't acknowledged and you're treated like an enemy.","50","They're facing persecution.","They're threatened by ICE","Their rights aren't being acknowledged","","","1","1","1","1","1","1","1","7","1","1","4","2","2","1","4","2","3","3","1","3","1","1","1","yellow","","Democratic Party","Republican Party","man","White","","","","","","","","$0-$20,000","2yearColl","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Other (please specify)","Pete Buttigieg"
"UN666gq","0","100","429","1","1","4","","","26","1","7","7","1","1","Low income individuals that are always working and barely scrapping by.","40","money","status in work","not enough time","feeling down","feeling different","1","1","2","1","2","3","1","7","5","6","3","2","2","2","3","3","3","5","3","3","1","2","1","blue","","Democratic Party","Republican Party","woman","White","","Black or African American","","","","","","$100,001-$120,000","GED","Democrat","","Strong","","","Donald Trump (Republican Party)","","Gavin Newsom (Democratic Party)",""
"RY150ge","0","100","321","1","1","4","","","55","1","5","6","3","7","Minorities, whether by race or sexuality, are being left behind. This includes immigrants.","43","Racial discrimination","Queer discrimination","Immigrant discrimination","","","4","1","1","1","1","1","2","7","6","5","2","2","2","3","4","1","3","5","2","4","4","3","1","Olive","","Democratic Party","Republican Party","man","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Democratic","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"AL026ij","0","100","421","1","1","4","","","65","7","1","1","2","2","Mostly those of low economic circumstances. It is not about race, but, financial security. Will I have a home tomorrow? How about food for my family? Those in power often speak to the needs of those in poverty, however, they seldom make decisions that will address this issue unless they are backed into a corner with threat of political loss. Those left behind often feel unheard, rightly so.","5","poverty","home security","unheard","less than","what is considered valuable","2","4","2","2","2","2","2","4","5","6","2","2","2","2","1","2","1","4","1","1","2","2","1","orange","","Republican Party","Democratic Party","woman","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Not very strong","","Donald Trump (Republican Party)","","J. D. Vance (Republican Party)",""
"SJ147jm","0","100","548","1","1","4","","","53","2","3","4","2","2","I would say the main reasons that some might being felt they are left behind.  Is they don't have an understanding of what the world really is.  They have a negative mind set of the heart that they are telling themselves they lack.  They also are not taking any steps to better themselves and ask for Gods help. That is what I think.","50","lack mindset","lack heart","lack money","lack love","lack period","1","4","4","4","4","4","2","1","1","1","4","2","2","2","1","2","1","1","1","1","3","1","1","Purple","I like J.D. Vance but who knows if he will run and VP's don't usually make it.  Have a good day","Democratic Party","Republican Party","man","White","","","","American Indian or Alaska Native","","","","$20,001-$40,000","noHS","No preference","","","","Closer to Democratic","Donald Trump (Republican Party)","","J. D. Vance (Republican Party)",""
"GL326ov","0","100","417","1","1","4","","","29","1","6","5","4","6","Normal low income to middle class people. They can't afford food, can barely afford health or dental care, and honestly can't really afford to live. This currently society is making the rich richer while the rest are mostly suffering.","40","Inflation","Cuts to welfare","All health related costs going up","Unaffordable housing","","5","4","2","3","3","4","1","7","7","7","1","1","1","1","3","1","1","2","1","5","1","1","1","Pink","","Democratic Party","Republican Party","woman","White","","","","","","","","$40,001-$60,000","GED","Democrat","","Strong","","","Kamala Harris (Democratic Party)","","Gavin Newsom (Democratic Party)",""
"QC771vv","0","100","264","1","1","4","","","26","6","2","2","3","3","Someone who feels they are being left behind are minimum wage workers. People who have to work two jobs just to make ends meet. It is not fair for someone to work that hard and barely be able to survive. Some people can't even afford to live by themselves. ","17","Bad wages","Not enough free time","Expensive bills","","","3","1","1","1","1","1","2","7","7","5","3","2","2","2","3","2","2","3","1","1","1","1","1","Blue","","Republican Party","Democratic Party","man","White","","","","","","","","$40,001-$60,000","2yearColl","Republican","","","Strong","","I did not vote","","Donald Trump (Republican Party)",""
