"PID","Status","Progress","Duration..in.seconds.","Finished","consent","intro","lebe_cont_1","describe","elect_exp","elect_change","elect_econ","elect_cult","ideo_1","ideo_2","ideo_3","ideo_4","ideo_5","gender_.99_TEXT","race_8_TEXT","age","check_1","feedback","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind"
"UC245pi","0","100","508","1","1","4","28","I don't really feel left behind by the economy or anything like that. I'm starting to feel left behind by age and ageism. I'm 70 and retired. I thought about getting a small part time job just for a little extra cash and looked into several possible opportunities but none of them panned out basically because of my age. A few people actually said it out loud. The other thing about age is losing family members and friends. My parents and siblings have all passed away and about 65% of my high school classmates are dead. Many people I worked with in my career are dead. Many of the people I served with in the US Air Force are dead. Honestly, it's starting to get a bit lonely and you do start to feel left behind. It seems difficult to make new friends at my age.","3","5","2","2","6","2","4","6","2","","","70","Blue","None","man","White","","","","","","","","$80,001-$100,000","GED","Democrat","","Strong","",""
"DG560np","0","100","190","1","1","4","19","I actually don't really feel left behind at all. I feel like I come from a very privileged position. I think perhaps the only way I maybe feel left behind is that I went to public school in a state that does not value education. ","4","3","1","1","1","6","6","4","6","","","34","blue","","woman","White","","","","","","","","$80,001-$100,000","PHD","Democrat","","Not very strong","",""
"AJ808cf","0","100","441","1","1","4","76","I feel left behind on the relationship level and career. Currently single after 2 divorces and I am still struggling with coming up with successful business plan. I always wanted to work for myself and I feel like I have not found my calling yet.","4","1","1","1","6","3","4","4","3","","","52","pink","","woman","","","Black or African American","","","","","","$40,001-$60,000","4yearColl","Democrat","","Not very strong","",""
"OZ594cr","0","100","237","1","1","4","10","In general, I do not feel left behind. The only exception is that sometimes I feel trivialized as An older adult, which may result in me being passed over or ignored for certain opportunities.","4","6","5","5","5","2","1","5","1","","","67","Green","","man","White","","","","","","","","$100,001-$120,000","PHD","Republican","","","Not very strong",""
"ML138al","0","100","246","1","1","4","77","I was born into a very poor family. Financially I have always struggled. I’m in my 40s and just now understanding the importance of investing. I never had children, or a wife. I spent so much of my early adulthood trying to pull myself out of poverty it just never came for me. I feel behind all my friends and coworkers in every way. I’ve had to come to the realization I will never have some things because of where I started. And most of it was just learning basic things I could have learned as a teenager but had nobody to teach me. I’m left playing catch-up with finances and all other aspects.","4","6","4","5","4","2","2","6","2","","","45","Blue","","man","White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Closer to Republican"
"ZR555ou","0","100","141","1","1","4","31","I feel a bit left behind because I am currently married, have 2 children, but we still are renting a house. We are unable to afford buying a house yet, and I see classmates getting married and buying a house next. I feel behind in homeownership.","2","2","5","7","7","3","1","2","2","","","26","Black","","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Republican","","","Strong",""
"RR231en","0","100","166","1","1","4","0","I do not feel left behind at all. I think that it's up to me to try to fit in wherever I am. I should not look at other people and compare myself to them. I think that people find happiness in themselves and their circumstances. It can be a beautiful peaceful thing. ","2","7","6","7","6","1","1","2","1","","","69","green","","woman","White","","","","","","","","$140,001-$160,000","PHD","Republican","","","Strong",""
"OJ155ml","0","100","174","1","1","4","84","My 20s went poorly and now im just sort of ten years behind. Bad social skills, no family, etc. It wouldnt bother me if it werent for societal expectations and judgements surrounding people my age","5","4","2","1","2","5","6","3","5","","","32","red","","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$0-$20,000","GED","Democrat","","Not very strong","",""
"ZV129le","0","100","304","1","1","4","22","i think because of the way people keep getting richer and the other people there income doesnt improve ","4","6","1","7","4","4","4","4","4","","","56","blue","","woman","White","","","","","","","","Prefer not to answer","GED","Republican","","","Strong",""
"XX794qc","0","100","175","1","1","4","69","I feel that as a millennial I never really caught much of a break. I graduated with student loan debt into a bad economy, was under-employed for years, and then when I finally did get a good paying W-2 job the work ended a few years later due to funding issues. I worry about saving for retirement and taking care of my parents in the future.","5","6","1","1","1","6","6","6","6","","","36","Blue","","woman","","","","Asian","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","",""
"CG351mr","0","100","332","1","1","4","10","I feel left behind in the world of technology.  Most importantly, when it comes to entertainment.  For example, I really want to get into VR/AR.  In fact, Android is debuting their XR glasses very soon, and I would love to get me and my wife those.  But I simply just can't afford it.  Even those headsets that apple came out with look extremely cool, and would be fun to have.  But at the end of the day, I just can't swing it.  And just simply not having enough money leads to other feelings of being left behind also.  I want to travel, plan for my future, etc.  But that's hard to do when every last bit of your paycheck goes to just breaking even. So  to sum it up, I wish I could change my answer to the previous question about how much I feel left behind, because now that I think about it, I would have rated that a lot higher on that sliding scale. ","2","3","7","5","6","1","1","7","1","","","43","Orange","","man","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Not very strong",""
"IL024vd","0","100","504","1","1","4","56","As you age, you seem to be sort of discriminated against most job opportunities.  I have held many high-profile positions during my career.  The company that I worked at in my last job, ended up closing the location that I worked at.  Being over 65 years old, most place of employment are not willing to bring someone on at my age.  I feel I still have lots to offer and many more year to work.  That is one way of feeling left out or behind.  Additionally, most of my close friends have passed away, leaving me with very few (almost none), close friends, making me feel somewhat left behins.","3","3","5","7","7","1","1","4","5","","","65","Blue","","man","White","","","","","","","","$20,001-$40,000","4yearColl","Independent","","","","Closer to Republican"
"XC614bh","0","100","119","1","1","4","64","Left behind to me means that I am not advancing in my career. Also means that I either don’t have savings and/or don’t have a house I own. ","5","3","3","1","2","3","5","3","6","","","34","Red","","man","","","","Asian","","","","","$140,001-$160,000","MA","Democrat","","Not very strong","",""
"ZR680ua","0","100","192","1","1","4","27","maynbe i feel some people are ahead of me financially. im kinda of nbehind in my career path. I feel i am behind in advancing and also fee lbehind in having kids. im already 34!","3","6","3","2","3","5","7","3","6","","","34","blue","","man","White","","","","","","","","$100,001-$120,000","MA","Democrat","","Strong","",""
"RU259pj","0","100","513","1","1","4","10","I'm white and in the middle class so, most of the time, I haven't felt ""left behind"".  There was a time in the 1980's when I was entering the corporate world as a woman and faced some challenges because most of my co-workers were men.  When I was a stay at home mom I felt a bit left behind because the expectation by my family and society was that I would work full-time.  Recently,  I feel a bit left behind because I'm a Strong Democrat and very liberal. This country is run by a Far Right President so many of the things happening in this country are very against my values.","6","6","1","1","1","7","6","","6","","","60","Purple","","woman","White","","","","","","","","$100,001-$120,000","MA","Democrat","","Strong","",""
"WN361nv","0","100","252","1","1","4","21","To feel left behind means that you feel that people are not listening to your needs/desires as they do with others that are higher in social status and wealth.  You are thought less of, discriminated against, treated differently, don't have access to things that others are.","4","4","3","5","1","2","1","1","7","","","56","purple","","woman","White","","","","","","","","$0-$20,000","2yearColl","Democrat","","Strong","",""
"CU041lk","0","100","301","1","1","4","47","As a senior and veteran living on Social security, I feel left behind a bit because I make just over the minimum for some financial help from the government.","4","5","6","6","6","2","2","4","4","","","77","green","","man","White","","","","","","","","$20,001-$40,000","2yearColl","Independent","","","","Closer to Republican"
"JU160ak","0","100","293","1","1","4","20","I think economically I feel a little behind. I'm in my early 40s and I've been working since I was 18 and I don't think I'm where I want to be financially. I think I'll be fine in the long run, but I wish I was a little better off because a major catastrophe could lag me behind my financial goals.","3","1","1","1","1","3","7","1","5","","","43","Blue","n/a","man","","","","Asian","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"QE893no","0","100","191","1","1","4","78","I feel like the economy is set up where the working class is not meant to level up because as the prices of living our rising the pay doesn’t increase by much and it leaves us stressed about finances ","3","1","2","1","4","4","5","4","4","","","41","Green","","man","","","Black or African American","","","","","","$60,001-$80,000","4yearColl","No preference","","","","Closer to Democratic"
"ZO538zc","0","100","288","1","1","4","0","I recently moved to a new area so i don't get to see too many familiar people very often. When i get a chance to see old friends I have a lot to catch up on.","4","3","3","1","6","6","6","6","6","","","48","blue","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Strong","",""
"DE177qe","0","100","164","1","1","4","55","There are just things that I am used to and from my past that just aren't around anymore. It makes me sad that those ideals are just left behind and no one cares about them anymore. ","3","6","5","4","5","3","3","3","4","","","48","blue","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Not very strong",""
"FG134kd","0","100","564","1","1","4","68","I grew up in a very disfunctional family, and we did not have the benefits normally expected by traditional families.  We were the children of the town drunk and were on the very bottom rungs socially.  Consequently, we were not included in much of what was conssidered ""normal"" American society.   We did not and were not expected to go to college, have good jobs, decent places to live....my siblings and I decided that socially we were even lower on the success ladder than migrant workers and were by and large ignored or  reviled by other segments.","2","3","2","1","1","5","3","3","4","","","77","green","Yes...thank you very much for including the choice of ""neither"" in the question do you consider yourself more democrat or republican.  Too many times I have answered this question knowing I would have to select one or the other, knowing that i espouse neither ideology...I have always been independent...trying to learn about the issues and the candidates regardless of their political loyalties.  I believe that should be the guiding light for anyone serious about trying to make the country better, or at least not worse.","woman","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Neither"
"RJ671in","0","100","151","1","1","4","100","As a college student, I feel like the debt I have accrued will only screw me over long term. No one is coming to help me either. All loan forgiveness is bullshit and won't happen.","1","1","3","4","3","1","3","4","2","","","31","blue","","man","White","","","","","","","","$20,001-$40,000","4yearColl","Independent","","","","Neither"
"DL159uv","0","100","371","1","1","4","10","I lost touch with a lot of my friends, so this was the first thing that came to mind. I have not tried to contact any of them for a long time. This is the main reason I would feel left behind. In reality, I do not. This is just an illusion I believe.","4","4","1","5","1","1","1","1","1","","","44","Yellow","Thank you!","man","White","","","","","","","","$0-$20,000","GED","Independent","","","","Neither"
"XX734xo","0","100","188","1","1","4","0","Well, I moved the slider to the ""I don't feel left behind"" side. Unsure what you mean by ""left behind""?","3","4","7","7","7","3","1","4","2","","","61","green","","woman","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Strong",""
"YN956lq","0","100","223","1","1","4","78","I feel like every one else is getting ahead and I'm not. I'm not making as much money as everyone else, and my views are becoming more and more rare.","2","2","2","1","1","4","6","1","2","","","37","blue","","man","White","","","","","","","","$140,001-$160,000","2yearColl","Democrat","","Not very strong","",""
"QG576pu","0","100","164","1","1","4","10","I live in a small town that has seen better days. It is struggling economically, and we lack high quality education and health care services. When I travel to larger cities, the difference in progress is often staggering. ","4","3","3","2","1","6","5","2","6","","","43","blue","","man","White","","","","","","","","$40,001-$60,000","MA","Democrat","","Strong","",""
"MI213hv","0","100","164","1","1","4","95","Well as I get older I find it really easy and anybody that gets older can tell you that you start to get left behind by everything and everybody job opportunities dry up friends disappear your children don't talk to you it's yeah it's a feeling of being left behind by society in general","4","1","1","1","1","7","7","2","6","","","61","green","","man","White","","","","","","","","$0-$20,000","GED","Democrat","","Strong","",""
"XY689fu","0","100","570","1","1","4","2","I am a white, straight, male, aged 65+. I grew up in a household that made sacrifices to send me to college and graduate school. As such, I've been privileged beyond most all of my peers. I'm sure that I have benefited from my birth circumstances far more than I even realize. So, I don't feel left behind almost at all - I've made something out of the many advantages I've had in life. If there is ANY way that I possibly feel ""left behind"" - then it might be some instances of ""ageism"" that I feel I've observed since I turned 62. Some few opportunities that were open to me at a younger age seem to have become rarer once I got well into my sixties.","4","3","5","3","3","","1","5","5","","","67","blue","You noted the term ""liberalism"" as one of your ideologies. That word can have multiple meanings (e.g. ""classical"" liberalism or modern day label of ""liberal""), so I chose NA for that particular question.","man","White","","","","","","","","$160,001-$180,000","MA","Democrat","","Not very strong","",""
"LC154ox","0","100","451","1","1","4","50","I was born left behind. The plan was for me to end up in prison and dead as soon as possible. This was an FBI plan, not just for me, but for millions.. ","3","1","5","4","5","4","5","5","6","","Indigenous American","62","white","Thank You for the opportunity to participate!","man","","","","","","","","Other (please specify)","$0-$20,000","2yearColl","Independent","","","","Closer to Democratic"
"FJ250ov","0","100","286","1","1","4","39","As a senior citizen, I feel that most don't feel that we need to be forward in our thinking and advance our knowledge of technology. I feel that most perceive senior citizens as old and unintelligible when it comes to any new development in technology. They ignore our needs and feel that we do not add anything to society. I find that my experience over the years can add a lot to today's world. I know what works and what does not in many cases. When technology has flaws because it is not user friendly, I can certainly aid in the development of it so that it can be used by all.","4","5","3","1","1","5","","","5","","","66","Yellow","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Strong","",""
"IX401ko","0","100","279","1","1","4","70","I have not exactly been successful in my life. I had a career but had to quit because of an injury. Now I am trying to get back to myself to do something with my life before it is too late. I feel left behind because all of my friends and family are doing much more than me. It hurts really bad because I still have so much to do and want to do.","5","1","5","7","7","1","1","1","6","","","56","Blue","","woman","White","","","","","","","","$20,001-$40,000","2yearColl","Republican","","","Strong",""
"TR424fh","0","100","166","1","1","4","80","I am physically disabled and don't live the typical life as other adults. I can't live where I want to, I cant work like I want to. I feel behind compared to my peers, even though its not by choice. ","4","3","1","1","1","5","5","","2","","","33","green","","woman","White","","","","","","","","$0-$20,000","GED","Democrat","","Strong","",""
"GF097ws","0","100","207","1","1","4","68","I feel left behind because the rich keep getting richer and the poor keep getting poorer in this country. I feel like all the people at the top have the most money and power and they control everything even though their percentage in the population is much smaller. People are struggling to afford basic necessities and the american dream feels like a myth.","1","4","1","1","1","5","5","5","6","","","39","blue","","woman","White","","","","","","","","$40,001-$60,000","GED","Democrat","","Strong","",""
"ND110jk","0","100","308","1","1","4","26","I feel left behind because I highly suspect that my vote doesn't matter in The US.  I feel like the elections are rigged by trump and Musk.  I feel helpless.","1","1","1","1","1","7","7","7","7","","","60","Teal","",NA,"White","","","","","","","","$80,001-$100,000","4yearColl","Independent","","","","Closer to Democratic"
"BD938ty","0","100","389","1","1","4","50","I am getting on the older side of things (52) and I am beginning to feel the way my grandparents felt the first time they saw a computer.  I am drawing back on the experiences that formed me 20 years ago and I now am starting to feel what they were probably feeling, that the world was passing me by.  I am looking at students that routinely use AI for assignments and get upset when I fail them for not having a single thought of their own written down.  The things that I was taught that you did and did not do (plagiarism, etc.) just don't seem to matter as much and I am feeling a bit like a relic of the past and am very uncertain about the future.","2","3","1","2","1","6","3","1","6","","","52","Green.","What's the importance of the color question?  Was there an attention check I missed?","man","White","Hispanic, Latino, or Spanish origin","","","","","","","$140,001-$160,000","MA","Independent","","","","Closer to Democratic"
"KP004fd","0","100","13","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SX833gd","0","100","238","1","1","4","40","I am a disabled person. While I am employed and have a home life, the rest of the world seems to disregard me. The opportunity to live a normal life in line with others just isn't possible. I watch as others carry on to fulfilling experiences while I struggle.","5","3","4","3","4","5","5","3","4","","","40","Blue","","man","White","","","","","","","","$40,001-$60,000","2yearColl","Republican","","","Not very strong",""
"VM395ov","0","100","204","1","1","4","17","I feel that I am not really left behind.  As a white male, I seem to get many benefits of the doubt in life.  I do think that with some diversity efforts it has hurt white males a bit.  However given the benefits, I have gotten in life I can not complain.","5","5","5","3","2","2","3","4","2","","","51","blue","no comments","man","White","","","","","","","","Over $200,000","PHD","Democrat","","Strong","",""
"NU953yp","0","100","451","1","1","4","20","I think the way I feel left behind is when I go to make a purchase of a car. The prices have gone up so much that I feel that I can not afford to purchase a good quality car because my pay is lower than people doing the same job as I am. So I feel that if I made more money like counterparts do I could afford to make that purchase without worry. ","2","3","2","4","7","5","7","6","3","","","60","pink","","woman","White","","","","","","","","$60,001-$80,000","MA","Democrat","","Strong","",""
"AA643ln","0","100","235","1","1","4","20","I don't have a solid and defined career like many people my age do. I don't have children, which is a personal choice. This is a positive thing for me, but I feel ""left behind"" in some way. I can not drive because I have epilepsy so I lack some independence that the average person my age has.","4","3","1","2","1","5","5","2","6","","","36","sage green","no issues","woman","White","","","","","","","","$60,001-$80,000","2yearColl","Independent","","","","Closer to Democratic"
"PI994pb","0","100","113","1","1","4","55","I feel left behind in my personal life. Most of my same aged friends are married and have children. I do not necessarily want those things currently, but I feel as if they are ahead of me in that regard. ","4","3","2","1","1","6","","","4","","","34","pink","","woman","White","","","","","","","","$60,001-$80,000","MA","Democrat","","Strong","",""
"MU703vd","0","100","185","1","1","4","19","I have had a rough three years after being completely flooded by a hurricane in 2022 and partially flooded by hurricanes in 2024. Having to rebuild my house multiple times in three years really takes a toll on my mental health and I feel like this is not something many people can truly comprehend and empathize. I often feel isolated in my feelings and left out of things going on in the world today because I am focused on putting the pieces back together in my life.","3","5","3","4","3","4","4","","3","","","52","Pink","","woman","White","","","","","","","","Over $200,000","4yearColl","Democrat","","Not very strong","",""
"ZB292nx","0","100","307","1","1","4","65","I enjoy living a lifestyle from excessive work or money-making by living in my car. However, with all the recent laws passed and focus on houseless and other transient people, I feel I'm not so much being left behind as much as actively prosecuted ","4","1","2","1","1","3","4","1","3","","","38","Blue","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$20,001-$40,000","4yearColl","Democrat","","Not very strong","",""
"SW236bh","0","100","242","1","1","4","15","I just think that the price of everything is rising, yet wages are not being raised enough. My husband and I do well, but still don’t have the financial freedom to do everything I’d like to do. ","4","5","3","5","5","5","3","4","5","","","43","Blue","Nothing that I can think of. ","woman","White","","","","","","","","$180,001-$200,000","MA","Republican","","","Not very strong",""
"AZ179ep","0","100","409","1","1","4","19","I've always felt a little behind and never knew why. I'm an intelligent person; I have a degree in Business and another in Law. Yet I never seem to fit in or succeed like others. I'm smart but I've never made it out of poverty. I've always been a manager, yet in nearly 40 years I never made it to District Manager. I'm a really nice person, yet I've never been popular or had a lot of friends. 

Left behind in so many ways for reasons that I couldn't fathom. Turns out, I'm autistic. And I have ADHD, which just amplifies the autism. Autism explains why I am the way I am. Why I always seem to miss out on the opportunities. Why society just doesn't make any damn sense. ","3","1","1","1","1","7","7","1","7","","","60","Purple","","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Democrat","","Strong","",""
"KQ482bh","0","100","71","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
