"PID","Status","Progress","Duration..in.seconds.","Finished","consent","lebe_cont_1","elect_exp","elect_change","elect_econ","elect_cult","mob_1","mob_2","mob_3","mob_4","mob_5","mob_6","mob_7","mob_8","check_1","soccon_1","soccon_2","soccon_3","soccon_4","soccon_5","lonely_1","lonely_2","lonely_3","leftbehind_cooley_1","leftbehind_cooley_2","leftbehind_cooley_3","leftbehind_cooley_4","leftbehind_cooley_5","ideo","gender_.99_TEXT","race_8_TEXT","age","check_2","feedback","gender","race_1","race_2","race_3","race_4","race_5","race_6","race_7","race_8","income","edu","party_gen","party_gen_5_TEXT","party_dem","party_rep","party_ind"
"MT810oc","0","100","207","1","1","40","4","3","4","6","2","5","5","4","6","4","2","2","5","3","2","3","5","4","1","2","2","","","","","","5","","","29","blue","","man","White","","","","","","","","Prefer not to answer","4yearColl","Independent","","","","Neither"
"TM643kc","0","100","130","1","1","71","5","2","1","1","2","4","2","4","4","5","2","2","5","2","2","3","5","2","2","2","2","","","","","","2","","","38","blue","","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"SH449ye","0","100","178","1","1","100","7","5","3","4","4","5","4","5","5","4","4","4","5","7","7","7","1","7","3","3","3","","","","","","4","","","36","red","","man","White","","","","","","","","$0-$20,000","noHS","Independent","","","","Neither"
"GP157hp","0","100","205","1","1","0","4","4","7","7","2","6","2","6","6","6","2","2","5","5","5","5","5","5","1","1","2","","","","","","7","","","37","blue","Have a great day!","man","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Strong",""
"QS051xm","0","100","165","1","1","62","7","1","7","1","7","5","5","6","4","5","6","5","5","6","5","5","5","5","2","2","2","","","","","","2","","","31","orange","","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Democrat","","Strong","",""
"EB868wc","0","100","245","1","1","17","6","5","5","5","5","3","3","5","5","5","3","5","5","2","3","2","5","2","1","1","1","","","","","","4","","","37","BLUE","great study","man","White","","","","","","","","$160,001-$180,000","MA","Independent","","","","Closer to Republican"
"AT045yo","0","100","190","1","1","18","4","2","1","1","6","2","6","2","2","2","6","6","5","2","3","3","5","2","3","1","3","","","","","","2","","","50","Blue","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","",""
"WM106dc","0","100","238","1","1","55","5","6","1","1","4","5","3","5","5","4","3","3","5","3","3","3","5","3","1","2","1","","","","","","1","","","32","blue","","woman","","","","","American Indian or Alaska Native","","","","$40,001-$60,000","GED","Democrat","","Strong","",""
"MS119fz","0","100","296","1","1","8","2","5","6","7","2","6","2","6","6","6","2","1","5","2","2","2","6","1","2","1","1","","","","","","6","","","40","Blue","","man","","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","GED","Republican","","","Strong",""
"PT328nk","0","100","236","1","1","77","3","1","1","1","5","2","6","1","2","4","6","5","5","5","6","7","1","6","1","2","2","","","","","","4","","","42","Purple","","woman","","","Black or African American","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"BP067zi","0","100","169","1","1","62","2","5","3","4","5","2","5","2","2","2","5","5","5","6","6","5","3","5","3","3","3","","","","","","5","","","34","Purple","","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong",""
"DJ308fh","0","100","119","1","1","8","3","6","7","5","3","5","3","5","5","5","3","3","5","2","2","2","6","2","2","2","2","","","","","","5","","","44","Red","","man","White","","","","","","","","$80,001-$100,000","4yearColl","Independent","","","","Closer to Republican"
"IP189xi","0","100","303","1","1","35","3","6","7","4","3","5","2","6","5","5","2","3","5","2","2","2","5","3","1","1","1","","","","","","4","","","50","pink","No further comments, thanks.","woman","","","","Asian","","","","","$160,001-$180,000","4yearColl","Independent","","","","Neither"
"SQ038ta","0","100","203","1","1","64","4","5","3","2","5","3","5","3","3","3","5","5","5","5","5","5","3","3","2","3","2","","","","","","3","","","43","blue","","woman","White","","","","","","","","$40,001-$60,000","GED","Republican","","","Not very strong",""
"TB517vo","0","100","221","1","1","30","4","3","2","2","3","2","2","2","2","2","4","4","5","1","1","1","7","1","1","1","1","","","","","","3","","","61","blue","","man","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Democratic"
"AD930mr","0","100","156","1","1","16","4","4","1","1","1","5","1","6","5","6","3","2","5","3","5","2","3","3","2","2","2","","","","","","1","","","34","purple","","woman","White","","","","","","","","$0-$20,000","GED","Democrat","","Strong","",""
"FC263zh","0","100","185","1","1","33","2","4","1","1","3","2","3","4","4","5","3","3","5","5","4","5","4","5","1","2","2","","","","","","2","","","37","Orange","","woman","White","","","","","","","","$120,001-$140,000","MA","Independent","","","","Closer to Democratic"
"PT040qs","0","100","248","1","1","60","5","6","4","5","3","4","2","4","3","5","3","3","5","4","3","5","6","5","1","2","1","","","","","","6","","","71","blue","","woman","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Neither"
"AP794xa","0","100","232","1","1","70","4","6","3","7","6","1","1","6","6","6","1","1","5","3","3","3","6","5","2","2","2","","","","","","7","","","38","Blue","","man","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Strong",""
"ZO284if","0","100","230","1","1","75","2","6","6","4","4","4","3","4","4","4","3","3","5","7","6","6","4","6","3","1","3","","","","","","4","","","53","purple","","man","White","","","","","","","","$60,001-$80,000","4yearColl","No preference","","","","Neither"
"WW938aj","0","100","178","1","1","46","6","7","5","6","3","5","3","5","5","5","3","3","5","2","3","3","6","2","1","2","2","","","","","","5","","","21","blue","","woman","White","","","","","","","","$80,001-$100,000","GED","Republican","","","Not very strong",""
"YE829os","0","100","164","1","1","60","6","4","3","2","2","6","2","6","6","5","2","4","5","6","6","5","5","6","2","2","3","","","","","","2","","","36","Red","","woman","","","","Asian","","","","","$40,001-$60,000","4yearColl","Democrat","","Not very strong","",""
"QT064wp","0","100","339","1","1","28","4","2","2","2","4","5","3","5","5","5","3","3","5","5","4","2","5","4","2","2","3","","","","","","2","","","27","green","","woman","","","Black or African American","","","","","","$40,001-$60,000","4yearColl","Democrat","","Not very strong","",""
"VE230sn","0","100","158","1","1","30","4","5","4","4","3","5","4","5","5","5","3","3","5","3","3","3","5","3","2","1","2","","","","","","4","","","42","Pink","","woman","White","","","","","","","","$120,001-$140,000","2yearColl","Republican","","","Not very strong",""
"KB583wz","0","100","196","1","1","81","4","7","4","3","1","7","1","7","7","7","1","1","5","6","7","6","2","7","3","2","3","","","","","","3","","","54","Red","","man","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Neither"
"TS766hg","0","100","246","1","1","6","1","6","6","7","4","4","4","4","4","4","4","4","5","2","1","3","6","1","1","1","1","","","","","","4","","","60","blue","","man","White","","","","","","","","$60,001-$80,000","GED","Republican","","","Not very strong",""
"DF000ki","0","100","164","1","1","8","4","4","6","7","1","7","1","7","7","6","1","1","5","1","1","1","7","1","1","1","1","","","","","","6","","","28","pink","","woman","White","","","","","","","","$60,001-$80,000","2yearColl","Republican","","","Strong",""
"PA048ze","0","100","396","1","1","91","5","3","1","1","5","2","5","2","2","2","5","5","5","5","5","6","2","6","2","3","3","","","","","","1","","","33","orange","","man","White","","","","","","","","$0-$20,000","GED","Democrat","","Strong","",""
"HM909cu","0","100","355","1","1","50","4","4","5","7","3","5","4","5","5","4","4","5","5","4","2","2","6","2","1","1","1","","","","","","7","","","59","pink","","woman","White","","","","","","","","$20,001-$40,000","2yearColl","Republican","","","Strong",""
"TC191uo","0","100","235","1","1","2","2","3","2","2","2","5","1","5","6","5","2","2","5","2","1","1","6","3","2","2","2","","","","","","2","","","59","blue","","man","White","","","","","","","","$60,001-$80,000","4yearColl","Independent","","","","Closer to Democratic"
"QY514sn","0","100","147","1","1","45","4","1","6","5","2","5","2","6","6","5","2","1","5","5","4","5","3","5","1","2","2","","","","","","4","","","31","pink","","woman","","","","Asian","","","","","$80,001-$100,000","MA","Independent","","","","Closer to Democratic"
"QC619lg","0","100","196","1","1","80","4","6","3","1","3","4","4","4","4","4","3","3","5","5","4","4","3","7","1","2","1","","","","","","4","","","41","black","","man","White","","","","","","","","$40,001-$60,000","GED","Independent","","","","Neither"
"CP572uw","0","100","170","1","1","81","3","1","1","1","6","2","3","5","5","3","5","5","5","6","6","7","2","7","3","3","3","","","","","","1","nonbinary","","30","purple","",NA,"White","","","","","","","","$20,001-$40,000","GED","Democrat","","Strong","",""
"TV954hf","0","100","190","1","1","0","4","4","7","6","1","7","1","7","7","7","1","1","5","1","1","1","7","1","1","1","1","","","","","","6","","","44","red","","man","White","","","","","","","","Over $200,000","MA","Republican","","","Strong",""
"JU956fr","0","100","296","1","1","60","6","3","1","1","6","3","3","5","3","5","2","6","5","6","6","3","5","3","2","2","2","","","","","","2","","","32","Pink","","woman","White","","","","","","","","$40,001-$60,000","2yearColl","Democrat","","Not very strong","",""
"TX917rr","0","100","276","1","1","5","2","2","3","2","5","2","4","2","2","2","5","5","5","2","3","2","6","2","1","1","1","","","","","","2","","","54","red","","man","","","","Asian","","","","","Over $200,000","2yearColl","Independent","","","","Closer to Democratic"
"JC517xq","0","100","227","1","1","2","5","4","1","7","2","5","3","5","7","6","2","3","5","1","1","1","7","1","1","1","1","","","","","","7","","","50","red","","woman","White","","","","","","","","$100,001-$120,000","GED","Republican","","","Strong",""
"CX926al","0","100","304","1","1","0","4","3","6","7","2","6","2","6","6","7","1","1","5","1","1","1","6","1","2","1","1","","","","","","6","","","55","pink","","woman","White","","","","","","","","Over $200,000","4yearColl","Republican","","","Strong",""
"CF164mk","0","100","146","1","1","7","3","7","7","7","2","6","2","6","6","6","2","2","5","2","2","2","6","2","1","1","1","","","","","","7","","","55","blue","","man","White","","","","","","","","$80,001-$100,000","GED","Republican","","","Strong",""
"RH090nk","0","100","277","1","1","70","4","5","5","5","4","2","4","2","3","3","5","5","5","6","4","5","5","5","3","2","2","","","","","","5","","","38","Blue","","man","White","","","Asian","","","","","Prefer not to answer","2yearColl","Republican","","","Not very strong",""
"KR655hr","0","100","305","1","1","100","5","2","1","1","4","1","4","2","2","2","5","6","5","7","7","7","2","6","3","3","3","","","","","","1","","","31","Dark blue","Good luck with your research","woman","White","","","","","","","","$60,001-$80,000","GED","Democrat","","Not very strong","",""
"GE973kn","0","100","211","1","1","43","5","3","2","2","4","2","6","3","2","2","5","6","5","6","7","7","4","7","1","2","2","","","","","","2","","","41","green","","woman","White","","","","","","","","$40,001-$60,000","4yearColl","Independent","","","","Closer to Democratic"
"SQ268xm","0","100","304","1","1","58","4","3","3","2","3","5","3","5","5","5","3","3","5","3","3","3","5","5","2","2","2","","","","","","4","","","38","blue","","woman","White","Hispanic, Latino, or Spanish origin","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Not very strong",""
"LD416sl","0","100","244","1","1","82","4","4","1","2","3","5","3","5","5","5","3","3","5","6","6","6","4","6","3","2","3","","","","","","2","","","40","Green","","man","White","","","","","","","","$0-$20,000","GED","Independent","","","","Closer to Democratic"
"UM163ai","0","100","200","1","1","30","5","5","5","2","2","5","2","5","5","5","2","2","5","2","2","2","6","2","2","2","2","","","","","","3","","","25","Blue","","woman","White","","","","","","","","$60,001-$80,000","4yearColl","Democrat","","Not very strong","",""
"BN050ln","0","100","273","1","1","73","3","5","2","2","3","2","2","3","2","4","3","6","5","6","5","5","6","5","2","2","2","","","","","","2","","","54","red","","man","White","","","","","","","","$20,001-$40,000","4yearColl","Independent","","","","Closer to Democratic"
"US768bx","0","100","270","1","1","22","6","4","2","2","2","5","3","5","3","5","3","3","5","3","2","3","5","3","2","1","2","","","","","","2","","","22","green","","woman","White","","","","","","","","Over $200,000","4yearColl","Independent","","","","Closer to Democratic"
"FU520tn","0","100","241","1","1","25","5","4","6","7","1","7","1","7","6","6","1","1","5","1","2","1","6","1","2","1","1","","","","","","6","","","50","black","","man","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Not very strong",""
"TU273dv","0","100","165","1","1","20","6","6","3","2","2","5","2","2","5","6","2","2","5","1","1","2","6","1","1","1","1","","","","","","3","","","46","Red","","man","White","","","","","","","","$140,001-$160,000","4yearColl","Independent","","","","Closer to Democratic"
"DG498ct","0","100","187","1","1","19","2","3","4","7","1","7","1","7","7","6","1","1","5","1","1","3","6","4","1","1","1","","","","","","5","","","54","blue","","woman","White","","","","","","","","$80,001-$100,000","2yearColl","Republican","","","Strong",""
"FT807xu","0","100","234","1","1","0","3","5","7","6","2","6","2","6","6","6","2","2","5","3","2","2","5","3","1","1","1","","","","","","6","","","63","Blue","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Not very strong",""
"DG784jm","0","100","393","1","1","0","6","7","3","7","3","6","3","6","6","6","3","3","5","1","1","1","6","1","1","1","1","","","","","","6","","","52","Blue","","woman","","","Black or African American","","","","","","$80,001-$100,000","MA","Republican","","","Not very strong",""
"IF738xy","0","100","291","1","1","100","2","1","1","1","5","1","3","2","3","3","6","6","5","5","6","6","3","6","3","3","3","","","","","","2","","","51","Purple","","man","White","","","","","","","","$20,001-$40,000","4yearColl","Democrat","","Strong","",""
"GM868pt","0","100","137","1","1","27","2","2","5","5","1","1","3","5","5","5","1","1","5","7","7","7","1","7","2","2","2","","","","","","5","","","32","Blue","","man","White","","","","","","","","$20,001-$40,000","GED","Republican","","","Strong",""
"BE771rn","0","100","267","1","1","100","1","1","1","1","4","3","4","4","4","4","4","5","5","7","7","7","2","4","3","1","3","","","","","","1","","","52","red","","man","White","","","","","","","","$0-$20,000","GED","Democrat","","Strong","",""
"DS702ve","0","100","161","1","1","0","4","4","5","2","2","5","4","6","5","2","3","2","5","2","2","2","6","3","1","1","1","","","","","","2","","","30","Blue","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Democrat","","Strong","",""
"SL385bu","0","100","205","1","1","22","4","4","2","2","3","5","3","5","5","4","5","3","5","2","2","2","6","2","1","1","1","","","","","","2","","","73","Yellow ","","woman","White","","","","","","","","$40,001-$60,000","MA","Democrat","","Strong","",""
"YR206hw","0","100","303","1","1","35","6","7","3","7","6","3","5","3","3","4","6","5","5","2","2","2","6","2","1","1","1","","","","","","6","","","72","red","","woman","White","Hispanic, Latino, or Spanish origin","","","","","","","$40,001-$60,000","GED","Republican","","","Strong",""
"GR242wd","0","100","206","1","1","80","4","1","1","1","3","2","3","3","3","4","4","4","5","6","6","5","3","6","2","3","3","","","","","","1","","","51","Purple ","","woman","White","","","","","","","","$20,001-$40,000","4yearColl","Democrat","","Strong","",""
"KM527yv","0","100","242","1","1","83","6","5","6","5","6","5","4","6","5","6","5","5","5","1","1","2","6","2","1","1","1","","","","","","2","","","27","White","None","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"OQ456wy","0","100","190","1","1","0","4","4","4","3","4","3","3","3","3","5","4","6","5","2","2","2","6","2","1","2","1","","","","","","4","","","25","purple","","woman","White","","","","","","","","$0-$20,000","4yearColl","Republican","","","Not very strong",""
"HY349oj","0","100","233","1","1","40","5","6","6","2","2","5","2","3","3","5","3","3","5","2","3","2","5","2","1","1","1","","","","","","4","","","42","Green","Nothing further","man","White","","","","","Middle Eastern or North African","","","$80,001-$100,000","2yearColl","Independent","","","","Closer to Democratic"
"OY073jd","0","100","314","1","1","60","4","5","3","3","3","5","2","5","5","3","2","3","5","2","2","2","5","2","1","2","1","","","","","","4","","Mixed","49","Green","","man","","","","","","","","Other (please specify)","Over $200,000","PHD","Independent","","","","Neither"
"MJ447oo","0","100","202","1","1","24","4","7","5","4","2","7","1","7","7","7","1","1","5","5","5","5","5","5","2","2","2","","","","","","4","","","36","Don’t have one ","N/a","woman","White","Hispanic, Latino, or Spanish origin","Black or African American","","American Indian or Alaska Native","Middle Eastern or North African","","","$180,001-$200,000","PHD","Independent","","","","Neither"
"YY593sw","0","100","259","1","1","90","4","5","3","2","5","2","5","2","3","3","5","5","5","6","5","5","4","6","3","2","3","","","","","","3","","","41","Blue","","man","White","","","","","","","","$60,001-$80,000","2yearColl","Independent","","","","Closer to Democratic"
"UV414ft","0","100","232","1","1","82","4","3","2","1","2","3","1","5","3","5","3","3","5","4","3","3","5","5","3","1","2","","","","","","2","","","63","purple","","woman","White","","","","","","","","$40,001-$60,000","2yearColl","Democrat","","Strong","",""
"HX841pv","0","100","324","1","1","55","5","4","3","5","3","5","3","5","5","5","2","2","5","2","2","2","6","2","2","1","2","","","","","","5","","","67","yellow","","man","White","","","","","","","","$20,001-$40,000","GED","Independent","","","","Closer to Republican"
"QU650vo","0","100","344","1","1","0","4","4","2","4","2","3","2","5","3","4","2","3","5","7","5","7","4","7","2","1","3","","","","","","4","","","41","green","","woman","White","","","","","","","","$40,001-$60,000","MA","Democrat","","Not very strong","",""
"UT525sh","0","100","134","1","1","100","5","2","1","1","6","3","4","3","3","4","5","7","5","7","7","7","1","7","3","3","3","","","","","","1","","","37","Orange","","woman","White","Hispanic, Latino, or Spanish origin","","","","","","","$0-$20,000","GED","Democrat","","Not very strong","",""
"GO935ii","0","100","307","1","1","20","6","5","1","1","2","5","2","5","5","5","2","2","5","2","2","2","5","2","1","1","1","","","","","","1","","","44","red",NA,"man","","","Black or African American","","","","","","$20,001-$40,000","2yearColl","Democrat","","Strong","",""
"BI176ee","0","100","194","1","1","7","5","6","4","4","4","4","3","5","4","4","4","4","5","3","3","3","6","3","2","2","2","","","","","","4","","","64","blue","","woman","White","","","","","","","","$60,001-$80,000","MA","Democrat","","Not very strong","",""
"UT441lr","0","100","202","1","1","39","5","4","4","4","2","5","2","6","5","5","2","2","5","2","2","2","5","2","1","1","1","","","","","","3","","","42","green","
","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Independent","","","","Closer to Democratic"
"ZY485ap","0","100","188","1","1","5","4","6","6","6","2","6","2","6","5","6","2","2","5","2","2","2","2","2","1","1","1","","","","","","6","","","50","Blue","","man","White","","","","","","","","Over $200,000","MA","Republican","","","Not very strong",""
"CR035bl","0","100","209","1","1","15","1","6","5","7","3","5","3","4","5","5","3","3","5","2","2","2","6","2","2","2","1","","","","","","6","","","37","blue","","woman","White","","","","","","","","$80,001-$100,000","4yearColl","Republican","","","Not very strong",""
"YI453vi","0","100","179","1","1","100","3","4","1","1","6","2","5","1","2","2","6","5","5","7","7","7","2","7","3","3","3","","","","","","1","","","31","red","","woman","","Hispanic, Latino, or Spanish origin","","","","","","","Prefer not to answer","GED","Democrat","","Not very strong","",""
"IA410zl","0","100","226","1","1","100","7","1","7","7","1","7","1","7","7","7","1","1","5","7","7","1","7","1","3","3","3","","","","","","4","","","23","Black","","man","","","","Asian","","","","","$20,001-$40,000","GED","Independent","","","","Neither"
"OY382ct","0","100","427","1","1","89","4","5","3","3","2","4","3","4","3","5","4","5","5","5","5","5","4","5","3","2","3","","","","","","3","","","34","green","","woman","","","Black or African American","","","","","","$0-$20,000","2yearColl","Independent","","","","Neither"
"AD487eh","0","100","223","1","1","10","1","5","7","7","1","7","4","7","7","7","1","1","5","1","1","1","7","4","1","1","1","","","","","","7","","","47","Blue","","man","White","","","","","","","","$100,001-$120,000","4yearColl","Republican","","","Strong",""
"CH944fm","0","100","276","1","1","40","5","4","1","1","4","2","3","4","2","3","5","4","5","3","3","4","5","5","2","2","2","","","","","","1","","","36","Green","","man","White","","","","","","","","$180,001-$200,000","4yearColl","Democrat","","Strong","",""
"VK973mm","0","100","512","1","1","23","5","6","4","2","3","5","3","5","5","5","3","3","5","3","3","3","5","5","2","2","2","","","","","","2","","","66","red","none","woman","","","Black or African American","","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"UI361cc","0","100","192","1","1","20","4","4","6","3","2","5","2","5","5","6","2","2","5","6","6","6","2","6","3","3","3","","","","","","4","","","41","Blue","","woman","White","","","","","","","","$20,001-$40,000","4yearColl","Independent","","","","Closer to Democratic"
"GU348wk","0","100","110","1","1","24","4","2","2","1","3","5","3","5","4","5","3","3","5","2","2","2","5","2","1","2","1","","","","","","1","","","44","blue","none","woman","White","","","Asian","","","","","Over $200,000","MA","Democrat","","Strong","",""
"YU434sp","0","100","199","1","1","37","4","4","1","1","3","5","3","5","5","5","3","3","5","2","2","2","6","2","1","2","2","","","","","","2","","","41","purple","everything was clear and went well","woman","","","","Asian","","","","","$80,001-$100,000","4yearColl","Democrat","","Strong","",""
"ZT138ja","0","100","215","1","1","25","6","5","4","2","3","5","3","5","4","5","3","2","5","2","2","1","6","2","3","2","1","","","","","","2","","","26","green","","man","","","","Asian","","","","","$80,001-$100,000","MA","Democrat","","Strong","",""
"VU258yi","0","100","192","1","1","42","3","3","1","1","5","1","5","2","3","3","7","6","5","3","3","2","5","3","1","1","1","","","","","","2","","","52","orange","","woman","White","","","","","","","","$80,001-$100,000","2yearColl","Independent","","","","Closer to Democratic"
